name,landscape and content,suitable activities,atmosphere,latitude,longitude,x,y,id
Aventure Fantastique,"Heroic fantasy-themed environment with immersive sets, costumes, and actors. Features dungeons, magical elements, and interactive storytelling blending puzzles, monster battles, and role-playing in a fantastical universe.","Interactive role-playing, puzzle-solving, team-based quests, battles against monsters, magic-themed challenges, and family-friendly immersive adventures with dynamic actor interactions.","Energetic, playful, and immersive with a mix of excitement and humor. Encourages collaboration and fantasy escapism, though some visitors note inconsistencies in execution.",48.8583203,2.4071761,656504.1364900464,6862194.854613947,0
Jardin d'Acclimatation,"Family-oriented amusement park with green spaces, rides for kids, seasonal festivals (e.g., dragons, lanterns), and farm elements. Blends outdoor adventure with themed attractions near Fondation Louis Vuitton.","Amusement rides, family bonding, day-long visits, festivals, outdoor exploration. Ideal for kids and adults seeking lighthearted fun.","Lively, family-friendly vibe with occasional crowds. Described as fun, vibrant, and welcoming, though some note ride closures or high costs.",48.8777811,2.2697644,646442.4255722013,6864443.192747715,1
Seven Squares Paris,"Features diverse entertainment zones: recreational Tortuga Island, virtual reality setups, trampoline parks, and bowling alleys. Themed areas with interactive games and group-friendly layouts dominate.","Group celebrations (birthdays, corporate events), bowling, VR gaming, trampoline activities, family outings, and team-building exercises.","Energetic, welcoming vibe with enthusiastic staff (Oumou, Safia, Gio praised). Mostly lively and fun, though occasional mentions of cold areas. Friendly, organized service emphasized.",48.8959099,2.3893061,655225.3556458736,6866384.575180839,2
Palomano - City,"Themed mini-city with imitation play areas, varied role-playing setups (e.g., professions), clean spaces, and colorful universes designed for children's imaginative play.","Role-playing games, interactive play for toddlers/kids, family outings, rainy-day activities, and parent relaxation while children explore.","Lively, family-friendly vibe with welcoming staff; often crowded, but described as safe, fun, and occasionally relaxing despite occasional wait-time frustrations.",48.9055155,2.3015875,648803.6382303725,6867505.982846046,3
Trampoline City,"Vibrant trampoline park with a focus on active play, described as crowded but featuring bright, popular facilities. Parking is noted as limited.","Birthday parties, family outings (especially on rainy days), and active play for kids, teenagers, and adults seeking energetic fun.","Energetic and lively with a family-friendly vibe, though often crowded. Reviews mention occasional stuffiness and a fun-focused environment.",48.9242664,2.3207898,650229.1418477836,6869578.743962913,4
Fete e Neuneu,"Outdoor amusement park with rides, Ferris wheel, and carnival attractions located near Bois de Boulogne. Annual traditional funfair with varied stands and seasonal decorations.","Family rides, carnival games, evening outings with kids, and seasonal festivities. Avoid due to high costs and occasional closures.","Mixed: lively for families with playful energy, but chaotic due to overcrowding, scams, and complaints about overpricing. Some find it underwhelming or poorly managed.",48.8634706,2.2654283,646109.609596509,6862854.934969225,5
Royal Kids,"Indoor playground with foam structures, colorful play areas, and diverse games. Clean facilities but smaller than some expect. Features enclosed spaces for safe play.","Climbing foam blocks, imaginative play, physical exercise for toddlers/kids. Parental relaxation while children play. Socializing and eating (food options mentioned).","Lively, noisy, and kid-centric. Crowded on weekends, calmer weekdays. Friendly staff. Energetic vibe with occasional hecticness but overall fun-focused.",48.82027859999999,2.394233,655522.0611781088,6857972.204797499,6
Parc Filou Planet 2,"Indoor children's play park with themed play structures, clean facilities, and dedicated birthday party areas. Reviews mention safe environments, organized spaces, and improved cleanliness under new ownership.","Birthday celebrations, kids' group play, indoor activities (especially in rain/cold), and organized events with cake/decorations. Popular for toddler and school-age children.","Lively, family-friendly vibe with enthusiastic staff during celebrations, but inconsistent due to crowding, occasional cold temperatures, and rare reports of unpleasant owner interactions.",48.8828073,2.467514,660949.4569682213,6864886.114075945,7
Crazy Park ! Le parc des anniversaires,"Large space with Halloween decor, ski elements, and diverse games for children. Themed setups like Crazy Ski sessions and seasonal events mentioned.","Children's birthday parties, skiing sessions, Halloween events, and active play. Organized activities with hosts like Inès for kids' entertainment.","Energetic, fun, and lively with enthusiastic reviews ('fantastic,' 'super,' 'AMAZING'), but occasionally crowded and chaotic per some feedback.",48.7796271,2.4786761,661692.2865628096,6853408.037537526,8
Royal Kids Bezons,"Indoor playground with air-conditioned play areas, safe zones for kids, and themed setups for birthday parties. Described as well-equipped but occasionally crowded or dirty.","Birthday celebrations, free play for children, parent relaxation while kids explore. Activities include climbing, games, and supervised roaming for ages 3+.","Generally lively and kid-friendly, with mentions of fun and excitement. Some reviews note chaotic crowds, poor staff professionalism, or cleanliness issues.",48.9131166,2.2018476,641501.0913642399,6868420.469710122,9
