Name,Positives,Negatives,latitude,longitude,x,y,id
Aventure Fantastique,"Aventure Fantastique offers an immersive role-playing experience in a richly detailed fantasy setting. Visitors praise the realistic decor, costumes, and engaging actors, making the adventure feel like a live-action Dungeons & Dragons game. Activities include puzzles, weapon battles, and character interactions, providing a thrilling hero-like journey for all ages. The experience is highly recommended for its atmosphere, humor, and dynamic storytelling.","Some visitors note issues with organization, such as unclear game transitions and crowded sessions. Soundproofing and group dynamics can impede immersion. The experience can be physically demanding and potentially expensive, with some roles needing clearer objectives.",48.8583203,2.4071761,656504.1364900464,6862194.854613947,0
Jardin d'Acclimatation,"Jardin d'Acclimatation is a beautifully maintained park in Paris, ideal for families with children. It offers a variety of attractions, including rides, playgrounds, animal interactions, and unique cultural festivals. Visitors appreciate the park's lush gardens, peaceful atmosphere, and picnic-friendly areas. The park has accessible food options and is well-connected by public transport. Highlights include festive events like Día de los Muertos and the Dragon and Lantern Festival, as well as interactive features like pony rides and themed decor.","Some visitors complain about the high costs of rides and attractions, especially if tickets aren't purchased in advance. There are also occasional reports of closures due to weather or maintenance. Crowds and long queues during peak times, and limited information on closed attractions upon entry, are other areas of dissatisfaction. Some guests highlight the inconvenience of accessing certain wristbands and the limited vegetarian food options. Parking issues and concerns about mask enforcement during COVID-19 also emerge as minor complaints.",48.8777811,2.2697644,646442.4255722013,6864443.192747715,1
Seven Squares Paris,"Seven Squares Paris offers a vibrant and welcoming atmosphere with a variety of activities, including bowling, virtual reality games, and a trampoline park. Visitors highlight friendly staff such as Kevin, Oumou, and Safia, who enhance the experience with their kindness and professionalism. The location is praised for its spaciousness, cleanliness, and suitability for family events and corporate gatherings. Affordable pricing and detailed assistance make it a preferred choice for birthday parties and group outings.","Some visitors find the pricing of entry tickets and snacks high, especially for larger families. A few reviews mention inflexibility in game scheduling and a particularly cold temperature in the Tortuga Island attraction that caused discomfort.",48.8959099,2.3893061,655225.3556458736,6866384.575180839,2
Palomano City,"Palomano City offers a rich, interactive environment for kids to explore varied, realistic play stations like supermarkets, fire trucks, airplanes, and more, fostering imagination and skills. It's praised for its cleanliness, attentive staff, creative setting, and engaging theme-based activities, making it ideal for family bonding. The city is equipped with facilities for younger children, ensuring a captivating experience that's often recommended for those visiting Paris.","Frequent complaints include overcrowding, high admission prices, limited space, and occasional cleanliness issues. There are logistical challenges such as insufficient shopping carts and costume availability, and discomfort due to noise and a lack of relaxing areas. Some visitors expected the space to be larger, and hygiene concerns were raised about navigating the area in socks.",48.9055155,2.3015875,648803.6382303725,6867505.982846046,3
VirtualTime Réalité Virtuelle Paris Montparnasse-Luxembourg,"VirtualTime offers a wide variety of VR games and escape rooms, suitable for all ages. The staff receives high praise for their friendly and attentive service, creating a welcoming atmosphere. Experiences such as Jungle Quest, Arizona Sunshine, and various escape games are popular. The facility is modern, well-maintained, and provides quality VR equipment. Visitors appreciate the immersive and entertaining experiences offered, which are ideal for family outings, birthdays, and gaming enthusiasts.","Some reviews mention technical problems like malfunctioning equipment and poor setup. Instances of noise due to poor insulation between game cabins and delays are reported. Organization issues are noted, such as being split into teams and insufficient facilitator availability, leading to diminished enjoyment.",48.84314639999999,2.3295775,650796.4818752249,6860553.204398725,4
Trampoline City,"Trampoline City is a fun and engaging attraction, perfect for children, teenagers, and adults alike. It offers a variety of activities and is popular for birthday parties. The venue has an energetic and friendly atmosphere, with commendable staff service and a welcoming environment. Free parking is available, and lockers are provided for convenience. The establishment is clean, boasts good quality trampolines, and offers good music selection. The setting provides a wonderful opportunity to unwind and enjoy a fun-filled day.","Visitors noted the location can be crowded, particularly on weekends. Some expressed dissatisfaction with the heat and air quality, which could impact comfort. Accessibility may pose a challenge without a car, and the venue's parking lot may be insufficient during busy periods. Additionally, the venue lacks nearby attractions or amenities for parents, such as a bar with alcoholic beverages. Concerns were also raised about the music choice during family-friendly hours and occasional security issues, such as a reported theft incident.",48.9242664,2.3207898,650229.1418477836,6869578.743962913,5
Fête à Neuneu,"Fête à Neuneu is a charming funfair located next to the Bois de Boulogne, ideal for family outings with diverse rides for children and adults. Visitors enjoy the vibrant atmosphere, easy access via metro or bus, and the scenic views of nearby artificial lakes. The park offers varied food options including ice cream, sugar crepes, and churros. Despite being smaller, it provides an entertaining carnival experience with evening light displays, especially notable on the Ferris wheel.","Common complaints include high prices for rides and food, inconsistent opening times, and some negative interactions with staff. Accessibility issues such as pedestrian paths and inadequate safety measures at crosswalks were also highlighted. Additionally, some visitors mentioned the lack of engaging attractions for older teens and adults, and overcrowding at popular spots.",48.8634706,2.2654283,646109.609596509,6862854.934969225,6
Royal Kids,"Royal Kids is a delightful indoor playground for children, featuring separate play areas for under 4 and older kids. With activities like slides, ball pits, climbing frames, tunnels, and paid rides, it ensures endless fun. The playground is clean, well-maintained, and staffed by helpful personnel. On rainy days, it offers a perfect escape for exercise and celebrations. The atmosphere is lively, and the entertainment, including a mascot croc parade, adds to the excitement.","Visitors highlight overcrowding during peak times, limited parking, and insufficient hygiene facilities, like child-sized toilets. Restrictions on outside food, expensive token games, and lack of fresh fruit in the cafe were also noted. Poor online updates about closures and noise levels were mentioned as drawbacks.",48.82027859999999,2.394233,655522.0611781088,6857972.204797499,7
Parc Filou Planet 2,"Parc Filou Planet 2 offers a diverse range of well-maintained play structures suitable for children of all ages, including adventure courses, inflatable castles, and a ball pool. The staff is described as friendly, attentive, and helpful, contributing to organized birthday parties and enjoyable family outings. The park is clean, safe, and offers affordable pricing, with a snack area providing family-friendly dining options. Recent management improvements have enhanced the overall experience, with new attractions and a welcoming atmosphere.","Complaints include unprofessional staff behavior, especially regarding birthday party management and unexpected charges. Cleanliness concerns, particularly of toilets and certain play areas, were noted. Overcrowding, excessive noise, lack of supervision, and safety risks on inflatable structures were also mentioned. Some visitors found it unfair to charge for very young children, and there were issues with climate control, lack of air conditioning, and hygiene of specific attractions.",48.8828073,2.467514,660949.4569682213,6864886.114075945,8
Crazy Park ! Le parc des anniversaires,"Crazy Park is a vibrant destination for children, offering a wide array of attractions including electric karting, snow activities, and diverse play structures. It is praised for its spacious and visually appealing environment, perfect for birthday celebrations. The staff is noted for their professionalism and friendliness, enhancing the experience for both kids and parents. Activities like skiing and snowboarding are well-organized, providing unique experiences, and the park ensures affordable pricing for food and activities.","Visitors highlight issues such as overcrowding during events, lack of maintenance resulting in non-functional games, and problematic food service organization. Concerns are raised about park cleanliness and safety protocols during busy times. Some parents express frustration over restrictions that prevent them from accompanying children on certain attractions, despite visible areas. The park's management is urged to improve logistical planning and maintenance to enhance visitor satisfaction.",48.7796271,2.4786761,661692.2865628096,6853408.037537526,9
Royal Kids Bezons,"Royal Kids Bezons is celebrated for its expansive indoor play area, offering an array of activities like trampolines, slides, and a giant Lego area. It's a well-priced venue for families, praised for its safety, especially with secure entry and ample staff presence. The location is ideal for birthday parties with multiple activity rooms and hosts who are engaging and attentive. Parents commend the cleanliness, the fair pricing on food and drinks, and the spacious seating area.","Common complaints include noise levels, especially during peak times, and the limited parking. Some visitors report inadequate air conditioning, particularly in summer, and others mention cleanliness issues with the flooring. Management and staff professionalism have been inconsistency noted by some, along with expensive food items and accessory fees.",48.9131166,2.2018476,641501.0913642399,6868420.469710122,10
GULLI PARK THIAIS,"GULLI PARK THIAIS is a lively destination for families, praised for its ample entertainment for children, including bounce houses and various games. The facility offers a parent's lounge, both inside and outside, and is appreciated for its friendly staff and provision of activities like air hockey and carousels, which keep children engaged for hours.","Visitors express concerns about cleanliness and safety, citing inadequately monitored doors and a lack of line of sight within the facility. Additional costs for attractions, high entrance fees, and subpar food options were also mentioned as drawbacks.",48.7571372,2.3869865,654935.5008286989,6850955.937509092,11
Pelouse de Reuilly,"Pelouse de Reuilly, near Paris, is a vibrant venue known for hosting the iconic Trône Fair, complete with thrilling rides, delicious food, and a bustling atmosphere. Visitors enjoy the variety of attractions and the charming, festive environment. It's an enjoyable destination for families, with cycling and hiking paths contributing to its appeal.","Visitors express concerns over the high costs of rides and food at the Trône Fair. There's frustration with inadequate signage, and limited payment options. The park can be crowded, leading to congestion and long wait times.",48.8301604,2.4065252,656432.8468063344,6859064.09607389,12
LevPark Little Parc,"LevPark Little Parc is a lively play area ideal for children, featuring a variety of games including pinball and climbing structures. It offers kosher food options like pizza and Italian ice cream, making it an appealing spot for families. The staff are generally friendly, contributing to a warm atmosphere where parents can relax while their children play. Additionally, there is a dedicated outdoor area for adults and organized birthday parties, making it a versatile location for both leisure and events.","Visitors often cite cleanliness issues, including trash and inadequate sanitation, affecting the overall experience. Some games are outdated or defective, and overcrowding during peak times reduces space and comfort. The park's community-specific environment may make non-Jewish visitors feel out of place, and the reception and organization of birthday parties may sometimes be lacking. Noise levels and unregulated child behavior also contribute to dissatisfaction.",48.76146319999999,2.4985842,663142.3211595208,6851379.023515805,13
Aquaboulevard de Paris,"Aquaboulevard offers a variety of slides, jacuzzis, and a spacious swimming area, allowing for a fun-filled family experience. The facility includes both indoor and outdoor pools, a Tarzan rope, and space for picnics outside. Visitors appreciate its cleanliness and range of activities, making it a recommended destination, especially for children.","The attraction is criticized for its high cost, outdated facilities, long queues, limited dining options, and poor maintenance in some areas. Concerns over strict food policies, cleanliness in restrooms, and security are also expressed, making it less family-friendly for some visitors.",48.8318042,2.2762627,646872.1587056179,6859326.625675503,14
Georges-Lamarque Square,"Georges-Lamarque Square is a charming, well-maintained park in Denfert Rochereau, ideal for families. It offers a children's playground, table tennis facilities, and abundant seating under shady trees, creating a relaxing atmosphere. Though small, it is a peaceful enclave amidst the city's hustle, inviting residents to unwind. The surrounding fence ensures safety, and the pathways afford leisurely walks and easy oversight of children at play. Its perfect setting near local landmarks makes it a convenient and pleasant spot for recreation.","Some visitors mention the distracting noise from adjacent heavy traffic and rats due to littering. The limited size and simplicity may not appeal to those seeking expansive or dynamic parks. Its potential is underutilized, and restrictions like no dogs allowed may limit attractiveness. Cleanliness could be improved to enhance enjoyment.",48.83475110000001,2.3306136,650864.607856937,6859619.092114545,15
La Rivière Enchantée,"La Rivière Enchantée offers a serene escape with its lush, green landscape, making it perfect for families and small children. Visitors enjoy the enchanting boat rides on tranquil waters, suitable even for young babies. With friendly staff and delightful Italian dining options, this attraction provides a wholesome and memorable experience for both the young and the old. The setting features tropical vegetation and serene, misty walks, creating a peaceful atmosphere.","Some visitors express dissatisfaction with the pricing structure, as rides require additional payment beyond the entrance fee. Issues with family members being separated on rides and a limited appeal for older children are also mentioned.",48.8779637,2.2672827,646260.604197929,6864465.182586934,16
XIIth Carousel,"XIIth Carousel is a charming vintage attraction, ideal for families with children. It offers a nostalgic ride experience, and the carousel itself is described as very pretty. The atmosphere is often friendly, with many guests noting that the manager is kind and welcoming. Visitors frequently enjoy accompanying refreshments such as drinks, waffles, and ice creams, making it a pleasant spot to relax while children delight in activities like attempting to catch the pompom.","Some visitors have reported unpleasant experiences with the manager, citing verbal and even physical aggression. Notably, an incident involving a child’s discomfort was poorly handled, suggesting issues with customer service and conflict resolution. Such experiences, although not frequent, seem significant and warrant concern.",48.8419877,2.3892699,655176.3267989949,6860388.828231399,17
Gulli Park Bry sur Marne,"Gulli Park Bry sur Marne is a delightful attraction for families, especially children, offering diverse activities and games that keep youngsters entertained. Many visitors highlight the park as an excellent place for kids to expend energy and enjoy themselves. The atmosphere is described as fun and lively, making it a top pick for family outings. Its affordability is also noted positively.","Issues mentioned include limited space and overcrowding, which can impact the experience. There are concerns regarding insufficient staffing, poor maintenance, and safety features for children that require attention. Improvement in service quality is needed.",48.830348,2.531644,665617.8549839031,6859023.198589012,18
Escape Hunt Paris - Escape Game,"Escape Hunt Paris offers immersive escape rooms with themes like Aladdin and the Metro. The rooms feature impressive decor and sound effects, enhancing the experience. Staff are noted for their humor, friendliness, and proficiency in English and French, providing clear support and engaging storytelling. Suitable for both beginners and veterans, the puzzles present a fun challenge. The location is praised for its welcoming atmosphere and engaging activities, available in multiple languages, making it a great experience for international visitors.","Some visitors found the Metro game particularly difficult and challenging to complete within the time limit, especially for smaller groups and beginners.",48.87008220000001,2.3353267,651243.6274746603,6863544.657890686,19
Petit Train - Porte Maillot,"The Petit Train offers a nostalgic, old-fashioned experience with open-sided wagons resembling early 20th-century steam locomotives. It connects Porte Maillot to the Jardin d'Acclimatation, providing a peaceful ride through the Bois de Boulogne, showcasing forested landscapes and luxurious surrounding buildings. It is especially enjoyable for families and young children, creating a unique and charming atmosphere. The train allows bypassing queues on busy days, making it a practical option for accessing the park.","Common complaints include the train being overpriced for the short journey it offers, disappointing older children. Visitors mentioned issues with diesel smell and outdated equipment. There were frequent remarks about long waits, sometimes unexplained, and inconsistent operation times. Insufficient information regarding train schedules and closures was noted. Some visitors experienced unmotivated staff, and a lack of amenities like free parking was also mentioned.",48.8773513,2.2780336,647048.4584642828,6864389.825259471,20
Illucity Paris La Défense - Réalité Virtuelle,"Illucity features immersive VR escape rooms with stunning, realistic graphics, offering a variety of games such as Notre Dame Brûle and Assassin’s Creed: Origins. The environment is engaging, supporting teamwork, and caters to different age groups with diverse experiences. The staff is often described as friendly and helpful, ensuring a good start to the adventure.","Some visitors noted a lack of diverse game options and professional enthusiasm from staff. Equipment issues, sound disturbances, and booking mishaps were reported, along with some complaints about high prices and unclear instructions for handling technical difficulties.",48.8907671,2.2373627,644080.01063712,6865909.604552668,21
Retro Manege de Lou,"Retro Manege de Lou is a delightful spot for children, offering a charming carousel experience that's particularly loved by young visitors. The ride is described as friendly and enjoyable, with long-lasting tours providing ample time for fun. Its quaint neighborhood location brings a sense of nostalgia and magic, making it a pleasant attraction for families visiting the area.","Reviewers express dissatisfaction with unprofessional management, including inconsistent opening times, unfriendly behavior, and abrupt dismissals. Issues with ticket validity, unkind interactions, and an unpleasant atmosphere have been highlighted. Additionally, some mention the hot location and the presence of too many pigeons.",48.8624075,2.3781665,654379.3058107364,6862665.689008839,22
Aquaboulevard,"Aquaboulevard is a large water park in Paris that offers a wide array of attractions, including slides, Jacuzzis, a wave pool, lazy river, and even mini golf. The indoor tropical garden provides a relaxing atmosphere, and the park features restaurants, a cinema, and a bowling alley. It's a great destination for families and thrill-seekers looking for diverse water-based activities and fun moments. The park is also praised for friendly staff and safety measures.","Common complaints include the requirement to purchase specific swimwear from nearby stores, overcrowding, outdated facilities, and lack of cleanliness. Visitors noted limited staff supervision on slides, leading to safety concerns. The food options are limited and expensive, and the changing rooms need improvement. Long queues and inadequate seating and shade are also issues.",48.8318042,2.2762627,646872.1587056179,6859326.625675503,23
Ecopark Adventures Moulin de Sannois,"Ecopark Adventures provides a thrilling and diverse treetop adventure experience with 12 levels of varying difficulty, ideal for all ages from toddlers to adults. The park is set in a lush forest offering cool, shaded landscapes and views over Paris. The staff are frequently highlighted for being friendly, attentive, and informative, enhancing the overall experience. The park is family-friendly, with special areas for young children and challenges for thrill-seekers.","Visitors frequently mention the inadequate and unclean toilet facilities. Some reviewers noted inconsistencies with park closing times, leading to dissatisfaction. There were also comments on some unsteady platforms and uncomfortable harnesses.",48.9698191,2.2356757,644041.4059008553,6874701.168680552,24
Escape LAB Paris,"Escape LAB Paris offers an array of immersive and original escape games, such as '1987', 'Black Magic', and 'Military Base 423'. The venue boasts friendly and supportive staff, competitive dual-room experiences, and intriguing storylines, ideal for team-building activities. Visitors highlight the exceptional VR experiences and thematic settings. The atmospheric challenges cater to both novices and experienced players, providing an engaging experience with creative puzzles.","Some visitors expressed dissatisfaction with the availability of English translations in certain rooms, experiencing communication issues. Others noted the lack of realism and dynamism in some themes, with rooms sometimes being too dark or small for larger groups. There were occasional technical issues affecting game progression.",48.868932,2.3455778,651994.5082148536,6863410.483426701,25
Le Manège du Bon Marché,"The carousel offers a nostalgic experience with a classy, old-world charm, decorated with buses, trains, cars, and boats. Children love engaging activities like grabbing rings with swords, catching Mickey's tail, and listening to pleasant Disney songs. It is well-situated in Boucicaut Garden, providing a welcoming atmosphere and warm, friendly staff. The offer of package tickets for multiple rides across Paris is valued by visitors, along with its recent renovations making it appealing and safe.","Some rides, such as the helicopter and plane, reportedly don't work. Concerns have been raised about the safety of certain components like the sharp wing edges. The durability and size of the ring-grabbing mechanisms have been criticized, and the overall ride is considered short for the price. Issues with music absence at times and rare occurrences of the stuffed toy being thrown were noted.",48.851204,2.324485,650430.4079066045,6861452.31428104,26
Le Monde de Noé,"Le Monde de Noé offers an immersive experience with rescued animals in the heart of Paris. Visitors praise the friendly and knowledgeable staff, known as rangers, for their engagement and passion in educating guests. The setting is described as magical and suitable for both children and adults, allowing direct interaction with animals like touching and feeding. The experience provides valuable lessons on animal welfare and conservation. Animal lovers particularly appreciate the close proximity to animals and the heartfelt storytelling intertwined with the visit.",The primary concern noted is the relatively high cost (€40) given the shorter duration and modest size of the attraction.,48.8711756,2.278088,647046.1700280537,6863703.099476517,27
