id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNQdGVMTkpnEAE,Birding+++,a month ago,2025-01-24 12:40:03.987098,5.0,Thomas Stafford,40,https://www.google.com/maps/contrib/111193285779900523008/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURPM1BIU0RBEAE,This is my inspiration lake. Love it!,2 years ago,2025-01-24 12:40:03.987098,5.0,Anja Geldenhuys,61,https://www.google.com/maps/contrib/104431476648867623941/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNpbTZ2N1ZBEAE,One of my favourite places in the area,4 years ago,2025-01-24 12:40:03.988100,5.0,Moheb Ramsis,23,https://www.google.com/maps/contrib/102528919031862727928/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUMyaXR5UG9BRRAB,Pure nature. Absolutely 🤗 beautiful place to spend all day long with friends. …,2 years ago,2025-01-24 12:40:03.988100,5.0,Francisco Uberto,72,https://www.google.com/maps/contrib/101916057716492317075/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNVbk5McTZ3RRAB,We had a lovely day.,5 years ago,2025-01-24 12:40:03.989106,5.0,Stephen Lewis,68,https://www.google.com/maps/contrib/108581875780726413131/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNjc1BHc2hRRRAB,Nice place to relax,4 years ago,2025-01-24 12:40:03.989106,5.0,Sabia Sk Heerah,38,https://www.google.com/maps/contrib/113221668609174426631/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURjZ3JQQUJREAE,Depaysant,4 years ago,2025-01-24 12:40:03.990100,5.0,Thomas P,73,https://www.google.com/maps/contrib/112805359910598191403/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURBdnJURWZREAE,Good,6 years ago,2025-01-24 12:40:03.990100,4.0,Sanaa M,283,https://www.google.com/maps/contrib/114354116304673471704/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURSMVpyM3lRRRAB,"The park is a great place to breathe but it's not a very good idea to walk with the dogs without shoelaces because there are a lot of children walking and sometimes the dogs climb on the children I know it doesn't is not attentive, a dog almost climbed on my daughter and as she is allergic to animals, I find it dangerous being it is a public park! I hope that dog owners will be more considerate so that they don't let their pets walk around without shoelaces!",a year ago,2025-01-24 12:40:03.991099,4.0,Awal RAHMAN,141,https://www.google.com/maps/contrib/104794785414633954124/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNLb3I2OUl3EAE,"A place of escape and relaxation also for sports enthusiasts, jogging, Nordic walking, or simply walking. When the weather is nice you can rent a boat and go for a trip. There is a kiosk right next to the car park, if you want to have a cold drink, a coffee, a tea or a pancake... In summer there are ice creams too.",3 years ago,2025-01-24 12:40:03.991099,5.0,A Lariane,175,https://www.google.com/maps/contrib/114883556928485235630/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQwcWF6T3B3RRAB,"It is perhaps the least pleasant of the 4 ponds in the Bois de Vincennes. Circular in shape, approximately 1400 meters, it surrounds 3 islands of which only the smallest is accessible. A refreshment bar adorns this western part of the lake. In the eastern part, it looks more like a small river, decorated with small waterfalls, but the numerous deciduous trees that border it make it less visible. To the west, the widest open part allows you to go boating. However, you can see and admire many birds around this lake.",5 years ago,2025-01-24 12:40:03.992099,4.0,Françoise,369,https://www.google.com/maps/contrib/108799099049503589097/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR1dFp2UThBRRAB,"This second large lake in the Bois de Vincennes is quite different from the other (Daumesnil). Very wild when in a boat you head towards the East and the Yellow Gate chalet. It even presents surprising natural obstacles (branches, crossing trunk under which you have to pass). For information: the closest access is via the D120.",2 years ago,2025-01-24 12:40:03.992099,4.0,H Marc T,44,https://www.google.com/maps/contrib/100728461888982219935/reviews?hl=en
