id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURQeWRtVHRBRRAB,One of the shorter bridges across the Seine in the main tourist area close to Notre Dame.,3 weeks ago,2024-12-28 15:16:12.698796,5.0,Mike Day,280,https://www.google.com/maps/contrib/101631451196518773367/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNUeHNYMkRnEAE,"This is a single arch iron bridge, spanning  the seine, built in the mid 1800’s , by the engineer Alphonse Oudrey and Nicolas Cadiat. The bridge is a popular hang out for buskers,",7 months ago,2024-12-28 15:16:12.698796,5.0,V H,"7,626",https://www.google.com/maps/contrib/116525100818724963755/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURwNm83V2tBRRAB,"Connecting two of the trendiest areas in Paris this 200yo wrought iron bridge attracts a large number of music buskers and street performers. Though architecturally unexciting; the foot traffic is accommodated by an unusually large footpath. It also has notable historical significance with its inception during the second French Revolution of 1830, as well as it's military use during the Liberation of Paris in 1944.",a year ago,2024-12-28 15:16:12.698796,4.0,Michael Hickey,236,https://www.google.com/maps/contrib/104353058035350447416/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURZcTg2cVpREAE,"Enjoy the view on river Seine. From here @notredame is very close to see. These days it's guarded with police but still can be seen very closely. Towards Notre Dame you can enjoy in shopping and in delicious food and drinks, on the other side of the bridge there are few fountains and few minutes more an metro Ⓜ station de Ville.",5 years ago,2024-12-28 15:16:12.699796,5.0,Kristian Božičnik,95,https://www.google.com/maps/contrib/105383309643367997167/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNnc0llbDd3RRAB,"Great view. Place to relax, overseeing boats and people dancing and singing. Good place for picnic on the river Seine. Bring your wine and some cheese and you off to great time.",7 years ago,2024-12-28 15:16:12.699796,4.0,Ali,148,https://www.google.com/maps/contrib/102963887062950409352/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNaaGNuVFlBEAE,Lovely bridge 🌉. Great food spots nearby! …,a year ago,2024-12-28 15:16:12.699796,5.0,Emilie Payne,411,https://www.google.com/maps/contrib/102996346587513465050/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNjMzZDdFNBEAE,A really nice bridge that leads from Hotel de Ville to Notre Dame Cathedral. It was quite busy particularly around the hotel de ville side when I was there. The bridge itself wasn't too busy when crossing it.,4 years ago,2024-12-28 15:16:12.700796,4.0,Benedict Uy,"3,512",https://www.google.com/maps/contrib/117720045831313801659/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQyM3RTdGtnRRAB,The Pont d'Arcole is bridge located between the historical '' Hôtel de Ville'' and the famous' 'Cathédrale Notre Dame''.  It crosses the large arm of the Seine River.  Amazing 👌,2 years ago,2024-12-28 15:16:12.700796,5.0,Ali Fakih,137,https://www.google.com/maps/contrib/105456918187900443776/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURNaXItaE9nEAE,Paris has plenty of foot-bridges across the river seinne which provide awesome view of the canal and the beautiful architecture in and around the river.,5 years ago,2024-12-28 15:16:12.700796,5.0,Arun Benitto,42,https://www.google.com/maps/contrib/104115283769498045773/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNZNC1MWVZ3EAE,Musicians on the bridge and view of Conciergerie and the Parisian court of justice.,5 years ago,2024-12-28 15:16:12.700796,5.0,liliangeorg,186,https://www.google.com/maps/contrib/113698233114199375029/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURZc3NDR2R3EAE,The best place for sunset pictures in Paris,5 years ago,2024-12-28 15:16:12.701796,5.0,R S,150,https://www.google.com/maps/contrib/109945993706487950087/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNvc0tLaDFnRRAB,"One has to experience the old world charm of Paris when you are there. There's so much to see on foot, the old bridges, the beautiful old buildings with architecture that's so awesome. And here I'm referring to old Paris. You can drink in the charm of the beauty you'll find. And if you want a bite, Google some of the finest eateries that cater to the taste of everyone. Including an Indian hotel we found tucked away in one of the by Lanes near the Notre Dame",5 years ago,2024-12-28 15:16:12.701796,5.0,Hema Nalini,48,https://www.google.com/maps/contrib/101276225800662110571/reviews?hl=en
ChRDSUhNMG9nS0VJQ0FnSUNaNF9zYhAB,The Pont d'Arcole Bridge in Paris was built in the 19th century from the Ile de la Cite across the Seine River to the Right Bank and City Hall. The construction was innovative.,a year ago,2024-12-28 15:16:12.701796,5.0,Bogdan Marcelan,937,https://www.google.com/maps/contrib/100552965636459416082/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM1NEpfRFBnEAE,Sunday jazz on a sunny Sunday in Paris,a year ago,2024-12-28 15:16:12.701796,4.0,Rod “Fromthe6tothe6th”,127,https://www.google.com/maps/contrib/110601899316976183009/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMtLXNfN2JnEAE,Old beautiful bridge,2 years ago,2024-12-28 15:16:12.702796,5.0,Kiều Nguyễn,170,https://www.google.com/maps/contrib/107583730004945929861/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURvbC1xYjd3RRAB,Another bridge of Paris. Connecting the Notre Dame to the Hotel de Ville,5 years ago,2024-12-28 15:16:12.702796,3.0,M J,261,https://www.google.com/maps/contrib/103180983705364194373/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBOHM3cF9nRRAB,"Beautiful view of the river Seine. After visiting Hotel de Ville (There's an office of tourism here. The BHV Marais across the street is a great place for shopping), cross the bridge Pont d'Arcole and walk down the street (rue d'Arcole). In a few minutes you'll see  the magnificent Notre Dame de Paris. Really beautiful area.",6 years ago,2024-12-28 15:16:12.702796,5.0,Christina Liu,19,https://www.google.com/maps/contrib/101706762167338024110/reviews?hl=en
