id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNIb1BlSF9BRRAB,Very beautiful church! Do not miss🤗 …,3 months ago,2024-12-27 20:41:57.513506,5.0,Biles Natalie,23,https://www.google.com/maps/contrib/110525300176674578681/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN4Z1B2QndBRRAB,"It's just magnificent. We nearly walked past, and we are glad we didn't. It is an amazing, tranquil place to take some time to reflect.",a year ago,2024-12-27 20:41:57.514507,5.0,Noel Maguire,288,https://www.google.com/maps/contrib/103512559215093691278/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNLdWQtMnNBRRAB,"What a unique church! It's tower is also noticable from far away and I finally got chance to visit today. Must visit!  Designed by Emile Bois, it was completed in 1938. Typical of it's period it recalls Romanesque and Byzantine architecture through its search for the geometry and volume of 1930s, often emphasized by the decoration.",3 years ago,2024-12-27 20:41:57.514507,5.0,Kemal Can,288,https://www.google.com/maps/contrib/112774886270498802637/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURuc3RuOGdBRRAB,Great atmosphere! You should visit.,2 months ago,2024-12-27 20:41:57.514507,5.0,Ahmet Kartal,37,https://www.google.com/maps/contrib/112338400280567700159/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR4cjdiSHR3RRAB,Beautiful Church! Decoration and motives are delicate and worth seeing if you love architecture!,a year ago,2024-12-27 20:41:57.515507,5.0,Carlos A Herrera,27,https://www.google.com/maps/contrib/102734282485746410508/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNjbl9pckZREAE,We just passed this church on the way to the Eiffle tower and so we didn't go in. The church looks quite unique and there is an interesting carving at the entrance.,4 years ago,2024-12-27 20:41:57.515507,4.0,Benedict Uy,"3,512",https://www.google.com/maps/contrib/117720045831313801659/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNkMzR5ZHVnRRAB,"Fabulous and very spiritual. You can feel Gods love inside and out. Go to mass, you won't be disappointed, Gregorian chants and an organ that is magnificent. The mass is beautiful and the service sacred.",10 months ago,2024-12-27 20:41:57.515507,5.0,kevin knox,75,https://www.google.com/maps/contrib/109336255492972070126/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUREbkltdjhnRRAB,"Do not walk past this! I’m not religious, but this church is captivating inside There is a chance that you will be completely alone inside. Very contrasting with the rest of the experiences in this area. Great to stop for a while and reflect",8 months ago,2024-12-27 20:41:57.515507,5.0,Alexander,0,https://www.google.com/maps/contrib/113226648966388093596/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNtN3VlSzBRRRAB,Very clean architecture. Worth visiting inside.,2 years ago,2024-12-27 20:41:57.516507,5.0,Jakub Sochacki,30,https://www.google.com/maps/contrib/115390731642831745022/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURoOXVPT1R3EAE,"It is beautiful and impressive. I think this shows a very good example of a modern cathedral. The exterior façade is beautiful, also the frescoes by Nicolas UNTERSTELLER inside the cathedral go really well with the concrete walls. It would be nice to compare it with the frescoes of the old cathedrals.",a year ago,2024-12-27 20:41:57.516507,5.0,Jeongku CHOI,264,https://www.google.com/maps/contrib/103135352727449215077/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN4ai1HaWdnRRAB,Beautiful place and architecture,a year ago,2024-12-27 20:41:57.516507,5.0,Süße,431,https://www.google.com/maps/contrib/107031043986381700605/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNXN3BySm5BRRAB,"This place is so peaceful. I highly recommend you to visit this place. Totally worthy place. The architecture is so good. Will definately visit the church again someday.  A sense of tranquility and warmth is the ambience one feels when entering into this historic church. Byzantine and Romanesque architecture at its finest! I visited this amazing Catholic Church in February 2019 .It was a Sunday and just after Sunday Mass I was able to enter and visit. Immediately upon entering I was overwhelmed with the enormity of the interior! There are sculptures and decorative designs with frescoes like the one of the Moslem painter, Nicolas Untersteller. The church is actually consisted of three parts, with the tower being the most prominent. The stupendous façade is unbelievably grand. The central steeple is absolutely breathtaking! This may be a 1930s structure but the original church dates back to 11th century! If you're around arrondissement 16th, this is a must visit. Must visit this place . If you want to find peace go there ..... The best church 🫶🙏",2 years ago,2024-12-27 20:41:57.516507,5.0,Mayank Verma,45,https://www.google.com/maps/contrib/114675659035464053694/reviews?hl=en
