id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNfM3NDNmpRRRAB,"Great place to relax, read a book, bask in the sun (in case there is some sun) and people watch.",a week ago,2025-01-24 12:52:51.270528,5.0,Mike Aoun,"1,023",https://www.google.com/maps/contrib/111919836695870396234/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURydjVIQVlREAE,"This spot is great for relaxing, find an empty chair and enjoy.",6 months ago,2025-01-24 12:52:51.271528,3.0,Luis Duckworth,367,https://www.google.com/maps/contrib/103918229346934899274/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUMzbnMzcTh3RRAB,"This is the circular body of water at the southeast end of the Tuileries Gardens. It is located on a direct line from the counterpoint Octagonal Basin at the northwest end, connected by the Central Alley walk through the Gardens.  There are metal chairs places around the Round Basin if you want to take a seat and relax here. Expect to find quite a few others doing the same throughout the day. There is a small centre piece shooting water upwards and into the basin. You will also find monuments placed around the basin grounds and can enjoy sightseeing in pretty much any direction after taking a good little rest and walking break here.",2 months ago,2025-01-24 12:52:51.271528,4.0,Brad,"5,578",https://www.google.com/maps/contrib/117832408789555351833/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ3NF9pSGJREAE,Amazing to see the Olympic flame here during the 2024 games. Beautiful setting. Near quite a few metro stops as well.,4 months ago,2025-01-24 12:52:51.272528,5.0,Brad Kosar,"1,188",https://www.google.com/maps/contrib/103702501063899421354/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNEbnVib0VBEAE,"Large fountain with a bunch of chairs to relax on while you observe the Louvre. It is also possible to see the Place de la Concorde (Obélisque de Louxor), with the faded silhouette of the Arc de Triomphe behind it, and even the top of the Eiffel Tower rising up from the hills. Great place to visit in the Tuileries Garden after visiting the Louvre.",9 months ago,2025-01-24 12:52:51.273528,5.0,Marcus Xiong,226,https://www.google.com/maps/contrib/118052052719058174231/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNUNE9LajJRRRAB,Huge fountain with plenty of seating around it. Great location to relax on a sunny day and watch the birds.,8 months ago,2025-01-24 12:52:51.273528,5.0,Aswin Viswanath,76,https://www.google.com/maps/contrib/106619221217554880379/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNKazlQQV9BRRAB,"If you need a place to relax in hectic Paris, this is it. There are more than enough chairs to find a place to sit.  Enjoy the ducks, enjoy the Parisians walking by, enjoy the day.",a year ago,2025-01-24 12:52:51.274528,5.0,Matthew Burns,"1,698",https://www.google.com/maps/contrib/104546199851452757913/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUM3bGJlampnRRAB,Had to see the Olympic vasque while it was still here. Hopefully they'll keep it forever,5 months ago,2025-01-24 12:52:51.274528,5.0,Olivier,14,https://www.google.com/maps/contrib/104154063488614591172/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURPc3F1Ui1BRRAB,This was a very relaxing place to spend some time in the morning! I would definitely recommend if you’re in the Louvre area. The whole garden area is nice!,2 years ago,2025-01-24 12:52:51.275529,4.0,Hunter Bash,6,https://www.google.com/maps/contrib/109321011836584907121/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ1NnRLcFlREAE,"A place to relax and read a book in the company of several ducklings, on sunny days it feels great to be here.",a year ago,2025-01-24 12:52:51.275529,5.0,Tony Zekinha,291,https://www.google.com/maps/contrib/108720863669550988525/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNPc2Yyb2tRRRAB,A spectacular fountain to visit. Both for aesthetics and for the ability to relax on the provided chairs there.,2 years ago,2025-01-24 12:52:51.276528,5.0,Sam Neil Paul,909,https://www.google.com/maps/contrib/110045324591504952897/reviews?hl=en
