id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURmd2Jyc2VnEAE,Another location where you can find a lot of nice art performances.,2 weeks ago,2025-01-24 13:04:08.241567,4.0,Mike Aoun,"1,023",https://www.google.com/maps/contrib/111919836695870396234/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNQcWUtQmdRRRAB,"This station is conveniently located near the Musée du Louvre. Exit 1,4,7",a month ago,2025-01-24 13:04:08.241567,5.0,Mk Hasib,26,https://www.google.com/maps/contrib/114751454060585225795/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNENWZ6cWh3RRAB,"This station is conveniently located near the Musée du Louvre. Clear signage within the station directs visitors to the museum, ensuring easy navigation for tourists and travelers alike.",9 months ago,2025-01-24 13:04:08.242567,4.0,Muh Fuei,971,https://www.google.com/maps/contrib/115558442660722949576/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURYZ3RIcWVnEAE,Love it! Although it’s crowded its still nice! Plus i needed to walk 30 seconds to get to the Louvre and back.,2 months ago,2025-01-24 13:04:08.243567,5.0,jean Alkarim,7,https://www.google.com/maps/contrib/100237396204405922949/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURPM19QeFdREAE,"One of the greatest places I've ever visited. I pre-booked everything before visiting Paris which was simple. They offered a student discount on tickets and entrance was easy with pre purchased tickets.  I've visited twice now on two separate occasions and have still to see the full place..it is so immense and vast you could spend a full day there and still need more time.  Security is important, and your bags will be checked but this is quick and fairly simple.  The Napoleonic exhibitions alongside the top floor galleries are breath taking. You can just sit and take it all in in tranquil peace.",2 years ago,2025-01-24 13:04:08.243567,5.0,Lucie Clark,138,https://www.google.com/maps/contrib/116007218891151675428/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNGN29qRlZBEAE,"Amazing, the best place to visit in Paris. Access via Metro line very convenient",a year ago,2025-01-24 13:04:08.244569,5.0,Travel Smart Budget,283,https://www.google.com/maps/contrib/115013486109087343292/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNpenAzMUZBEAE,"Royal palace or Palais-Royal in French situated north of the Louvre is the most elaborate architecture work on a scale never seen before, the most intriguing insider secrets. While visitors flock to the iconic Eiffel Tower and Palais Garnier, this heritage arcade often escapes the attention however its the heartbeat of the locals, they love the gorgeous garden and its contemporary charms.",4 years ago,2025-01-24 13:04:08.245570,5.0,Arnold Petersen,340,https://www.google.com/maps/contrib/101024401273912192389/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN0aFAyZmZREAE,"Can get a bit crowded since it’s near the Louvre, other than that it's good that there's a Metro near the Louvre.",11 months ago,2025-01-24 13:04:08.245570,5.0,RC,707,https://www.google.com/maps/contrib/104334567828196708417/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNJdXJHR2R3EAE,This is the best museum that i have ever seen in my life. I heard that there are 30 millions arts and elements in this museum and it is comsidered one of the biggest museums of the world ! Amazing thing is Monalissa painting made by Leonardo da vinchi.,6 years ago,2025-01-24 13:04:08.246567,5.0,Dev Makawana,87,https://www.google.com/maps/contrib/114212239288335396457/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN6b08yRFVBEAE,Would give this 0 stars if possible. Staff was RUDE and UNFRIENDLY. UNREASONABLE. This lady with blonde hair stopped us for our card checks but unreasonably told us that our cards were not accepted although we got in. We tried to explain ourselves but she kept shushing us and interrupting us. We tried to explain as politely as possible that the machine accepted our cards BUT she rudely raised her voice and had a disrespectful tone. She made us pay a fine because of that which we were extremely unhappy about - as we were not in the wrong here. We continuously tried to explain ourselves very nicely and how we were not at fault but she told shouted at us and probably started cursing in french. We were fined 100€.  Staff could have handled the situation so much better. The blonde lady is super unreasonable and disgusting.,7 months ago,2025-01-24 13:04:08.246567,1.0,suzanne,16,https://www.google.com/maps/contrib/100801641436801406473/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMyemZUTGRBEAE,Dont forget to visit the street art exit Galerie Valois with comtemporary artists,2 years ago,2025-01-24 13:04:08.247568,5.0,Cédric (KDRIC),"1,735",https://www.google.com/maps/contrib/115466470045389771674/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURNM0xEYV9BRRAB,I was really impressed.  A very nice museum.,5 years ago,2025-01-24 13:04:08.248570,5.0,S T,50,https://www.google.com/maps/contrib/109683391522286628422/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBM012am53RRAB,"This metro station is aweful, at least the entrance from the Louvre Caroussel Mall. There is only ONE ticket vending machine which does not accept banknotes. This makes the process of buying a ticket very long due to all the crowd coming in from the Louvre and the mall. The info desk is closed, there are only 2 turnslides, and the shop they have there is overpriced and only sells newspapers and tobacco!",6 years ago,2025-01-24 13:04:08.248570,1.0,Iustin Raducanu,318,https://www.google.com/maps/contrib/114045264142787911102/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURDdmZ2dDZBRRAB,Always beautiful to hangout and relax there.,4 years ago,2025-01-24 13:04:08.249567,5.0,Alia Fares,378,https://www.google.com/maps/contrib/117693350987781884395/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURGcDRpUlR3EAE,"When we left the Louvre in the evening, ticket inspectors were waiting for tourists in the metro station. My wife and I scanned our card and entered the station. We learned that supposedly my wife is very strong. The inspectors were sure she had not paid intentionally but pushed the door open instead. I saw her scanning the card and she walked through the door just like always. So either entrance barriers have just a bad design or it is a tourist trap. We had to pay 60 euros. We checked online later and believe that is a fine if you do not have a ticket at all. Beware! PS: we checked they were really ticket inspectors from RATP",a year ago,2025-01-24 13:04:08.249567,1.0,Tim H,0,https://www.google.com/maps/contrib/105657700472665947727/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURSdjZhZ3RBRRAB,"Like others have said, there are metro security waiting here to trap tourists. We used our tickets to get into the metro at Barbes-Rochechouart but they said they weren’t validated properly (?!?) and that it was our responsibility to check this (!?!??). Complete trap for tourists and they made us pay 35 euro each x 3 =105 euro. I believe they are actually metro security but it’s completely unethical to be charging people fines for the fact their own equipment doesn’t work properly. Beware.",a year ago,2025-01-24 13:04:08.250567,1.0,Anthony Hempell,1,https://www.google.com/maps/contrib/113725625224209568753/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURoaXRiMmR3EAE,Google does not show metro lines when doing direction search. You must turn on public transport layer to show which lines stop here (M1 & M7). It would be useful if Google can included the metro line on the result of diction search.....,a year ago,2025-01-24 13:04:08.250567,3.0,Fadjar Djulizar,12,https://www.google.com/maps/contrib/101446054302080453067/reviews?hl=en
