id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUQzeHNlQnhBRRAB,Great art space,a month ago,2024-12-28 15:43:26.367974,5.0,Ronald Bos,265,https://www.google.com/maps/contrib/114903730778284185774/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNoN2E3clRBEAE,"If you are interested in European contemporary art, this is the place you have to visit. Keep an eye on current exhibitions",a year ago,2024-12-28 15:43:26.368975,5.0,IN Places city guide,99,https://www.google.com/maps/contrib/108151934950987168817/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNYMmYzcWVBEAE,Great staff. Nice connection with Bourse de Commerce.,2 months ago,2024-12-28 15:43:26.368975,4.0,Antony Wilder,92,https://www.google.com/maps/contrib/101230615655126096437/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNHdGZXdHpBRRAB,The exhibition of work by William Kentridge was amazing - the video was so moving and poignant. But we found it really hard to access the gallery. Such a wonderful show needs to be shared with people not kept behind locked doors!,3 years ago,2024-12-28 15:43:26.368975,4.0,paul allender,2,https://www.google.com/maps/contrib/102651579966786052353/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNHdF9tUzhRRRAB,Amazing space and quality William Kendtridge artworks,3 years ago,2024-12-28 15:43:26.368975,5.0,Nontsikelelo Veleko,15,https://www.google.com/maps/contrib/102721083477663924952/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR4d2JDRlNBEAE,🤍 …,11 months ago,2024-12-28 15:43:26.369975,5.0,Yondon Myadagmaa,4,https://www.google.com/maps/contrib/100308822081394111201/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUMwbS1XYndnRRAB,Best gallery in town!,5 years ago,2024-12-28 15:43:26.369975,5.0,Arda Kazan,690,https://www.google.com/maps/contrib/117166910975045876751/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNoZ3QzcFRREAE,Top!!!,a year ago,2024-12-28 15:43:26.369975,5.0,Gianluca Ranzi,16,https://www.google.com/maps/contrib/100901659828566768335/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURZOE55bjhRRRAB,"It was good , Marian.",5 years ago,2024-12-28 15:43:26.369975,4.0,Chuan Lim,46,https://www.google.com/maps/contrib/101113308253494135211/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR5NXV5VUhBEAE,"A (free) exhibition to see at the moment, “After” by Christian Boltanski. From light to darkness, different themes and supports for the works presented. Be careful, don't go there unexpectedly, you have to register for a time slot on their website.",3 years ago,2024-12-28 15:43:26.370975,5.0,Caroline TALCONE,67,https://www.google.com/maps/contrib/106272961108987953681/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNEemYyZ0pREAE,"Annette Messager exhibition  exceptional exhibition dedicated to the fascinating work of Annette Messager, an artist who constantly pushes the boundaries of contemporary art. Recognized worldwide for her ability to forge deep connections between the personal and the universal, Messager uses a variety of mediums to explore themes of identity, the body, and memory.",8 months ago,2024-12-28 15:43:26.370975,5.0,Liliane Clavel Pardo,407,https://www.google.com/maps/contrib/109694480167351335274/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNoMHBpN1R3EAE,Super nice exhibition at the moment!! (it’s in a building you have to ring the intercom) ;),a year ago,2024-12-28 15:43:26.370975,5.0,Meloe Floissac,35,https://www.google.com/maps/contrib/111060611506790505691/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5Mzluak1nEAE,"Honestly, it’s a superb gallery! Free and very interesting despite being very short! But I really liked the atmosphere and the security did its job well ✨  The works are obviously magnificent and very intriguing! It’s a good plan that I highly recommend!",3 years ago,2024-12-28 15:43:26.370975,5.0,rem,106,https://www.google.com/maps/contrib/117325432813111385016/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNoNXVTRDNnRRAB,"One of my favorite places, I love this place so much, it's incredible",a year ago,2024-12-28 15:43:26.371975,5.0,Kany,18,https://www.google.com/maps/contrib/115188317240630676850/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN4d19YVkZnEAE,"Unavoidable. A beautiful space, great artists, editions, always pleasant welcome, in addition to an excellent bookstore on the other side of the street.",a year ago,2024-12-28 15:43:26.371975,5.0,De Bonis Claudia,73,https://www.google.com/maps/contrib/117997461377317369868/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUREZ3BUTlNnEAE,Very nice place. Nice exhibition,8 months ago,2024-12-28 15:43:26.371975,5.0,Fabienne Sanchez,62,https://www.google.com/maps/contrib/115657768017355976069/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQta0lDVU5nEAE,"I was able to discover the sublime exhibition “In total darkness” by Tavares Strachan. My words will not be enough to express the incredible work done. Thank you to the artist, thank you to the performers with exceptional voices for this moment. Thank you to the people managing the gallery, welcoming and accessible.",2 years ago,2024-12-28 15:43:26.371975,5.0,C B,13,https://www.google.com/maps/contrib/110968853451763885942/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRbTRiaEVnEAE,"It is good, in the Marais, to push open the impressive carriage doors. Behind it is a very beautiful contemporary art gallery. The artists scheduled there are very varied and we are always surprised by what we see...",10 years ago,2024-12-28 15:43:26.372975,4.0,Celine B,49,https://www.google.com/maps/contrib/101572665784075280630/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNlbl9Mb2F3EAE,It was good,2 years ago,2024-12-28 15:43:30.494523,5.0,Emi Rose,175,https://www.google.com/maps/contrib/104244557652570790786/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNzNW9TWWVnEAE,"you have to look because there is no sign etc. We had seen the Summer Group Show and found it surprisingly accessible, well organized, we would definitely return on a future visit.",4 years ago,2024-12-28 15:43:30.494523,4.0,Monique Rousseau,0,https://www.google.com/maps/contrib/109254339783180559171/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMwNHRyYTRBRRAB,"Very good gallery, one of the best in Paris. Very good choice of artists, and exhibitions which often rival those of institutions.",5 years ago,2024-12-28 15:43:30.495523,5.0,arnaud laporte,63,https://www.google.com/maps/contrib/101024397630009675224/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURNbUlMTWJ3EAE,The gallery presents renowned artists. Its exhibitions are sometimes major artistic events. This was the case with William Kentridge.,5 years ago,2024-12-28 15:43:30.495523,4.0,Gilles Devaux,0,https://www.google.com/maps/contrib/109679538106359708800/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRa1AyM1RnEAE,"Large and beautiful gallery with a cold and contemptuous welcome as it should be. Failed Sandback Expo: questionable updates and too many pieces, far too many pieces...",6 years ago,2024-12-28 15:43:30.495523,4.0,Sylvain Sorgato,389,https://www.google.com/maps/contrib/110972808943410634389/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ2c1pLX3BBRRAB,"Favorite on this gallery. The gallery is on two floors, two floors where we delve into interesting exhibitions",3 years ago,2024-12-28 15:43:30.495523,5.0,Perrine GODEL,125,https://www.google.com/maps/contrib/115985826957273764665/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5MV92S1p3EAE,Very nice gallery,3 years ago,2024-12-28 15:43:30.496523,5.0,Tasnime,55,https://www.google.com/maps/contrib/101044207945947788146/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM0NU96VFVREAE,Beautiful showroom with a pleasant welcome for Annette Messager... I loved it...,5 years ago,2024-12-28 15:43:30.496523,5.0,Diocluciano Mota,31,https://www.google.com/maps/contrib/102055297791708702853/reviews?hl=en
