id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNMdkltdWRREAE,Awesome indian food. This kind of food I didn't taste in paris.,7 months ago,2025-01-24 11:57:33.033892,5.0,Ankita Verma,0,https://www.google.com/maps/contrib/106834695644304845537/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUM3NzZqcmVnEAE,I couldn’t find this place. Maybe it closed down.,5 months ago,2025-01-24 11:57:33.034891,5.0,Mark Zeta,182,https://www.google.com/maps/contrib/100589464172058756514/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURPMmZIODdBRRAB,"Super nice staff, cheap and yummy.",2 years ago,2025-01-24 11:57:33.034891,5.0,Ysabel Ortiz,176,https://www.google.com/maps/contrib/118199081746107917769/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNRZzRHam5nRRAB,"Delicious food, fast friendly service.",6 years ago,2025-01-24 11:57:33.035894,5.0,CECILIA R.,1,https://www.google.com/maps/contrib/100496459111828526408/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURPMHZ2QkNnEAE,"Very good paninis, stopped by for a late lunch and was pleasantly surprised",2 years ago,2025-01-24 11:57:33.035894,4.0,Blake Helm,17,https://www.google.com/maps/contrib/116921862688903760632/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNtLXVfWDlRRRAB,Amazing food and lovely music. Employee called Amer Rezz is very friendly!,3 years ago,2025-01-24 11:57:33.036894,5.0,Sleiman Kaakour,0,https://www.google.com/maps/contrib/115725401521351571152/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUM2c2VfM0pREAE,"Fast, yummy and good value. I would recommend it!",3 years ago,2025-01-24 11:57:33.036894,5.0,Philipp Beck,37,https://www.google.com/maps/contrib/105271318180403484094/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURadXJfd2x3RRAB,The place doesn’t exists,a year ago,2025-01-24 11:57:33.037893,1.0,דור כהן,0,https://www.google.com/maps/contrib/112140250306835480432/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNRZzc3MVZBEAE,Home made fresh fast food,7 years ago,2025-01-24 11:57:33.037893,4.0,Richard Mehanna,45,https://www.google.com/maps/contrib/101019300244317751767/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQyamNlanhRRRAB,"I took a little break in this place. The dishes are delicious, I enjoyed myself, I cook Lebanese and I confirm the freshness of the dishes. The person is charming",2 years ago,2025-01-24 11:57:33.038894,5.0,dominique zebourian,0,https://www.google.com/maps/contrib/113996658943021935165/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNxOVBLUDdRRRAB,"Having had two coffees and a can I cannot judge the cooked dishes but it smelled very good. Very friendly staff, kind, the kind of person who makes you smile even when it rains :)",3 years ago,2025-01-24 11:57:33.038894,5.0,Fat Amin,47,https://www.google.com/maps/contrib/108750302939773343219/reviews?hl=en
