id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNIazc2eGZnEAE,The structure is  picturesque. The atmosphere is peaceful.,6 months ago,2025-03-15 22:00:34.198832,5.0,Promothes Baruah,82,https://www.google.com/maps/contrib/103977827296893398165/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUM0Z0xtZ3JnRRAB,Very picturesque,5 years ago,2025-03-15 22:00:34.198832,5.0,Kevin Herrmann,0,https://www.google.com/maps/contrib/103043984014119119303/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNROU8zWmRnEAE,Super,8 years ago,2025-03-15 22:00:34.199833,5.0,Dj Bessey,75,https://www.google.com/maps/contrib/115194772512001840129/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUQza3VfNUxnEAE,We had a very interesting cultural moment. The speaker was a fine connoisseur. Thank you very much to the entire Rueil Accueil team ✨️,4 months ago,2025-03-15 22:00:34.199833,5.0,Martine Friedrich,97,https://www.google.com/maps/contrib/114776769719338529415/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNVemNtdGVREAE,It is also the old town hall and the filming location for many films. The latest is “what have we done to the Good Lord”. There is a museum with a fine collection of toy soldiers as well as other interesting pieces. We went there for a wedding and the building is very majestic.,5 years ago,2025-03-15 22:00:34.200832,4.0,Xavier S,481,https://www.google.com/maps/contrib/108564760872455026919/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURxaE95ZWJREAE,"Museum on the history of Rueil-Malmaison on the ground floor the main room follows a chronological order on the different events or people who lived in the town, a small room behind the reception presents different objects relating to laundry. Then went upstairs where there are a few rooms including the one presenting a child's mummy found by the garbage collectors during a bulky waste tour. Upstairs is also the wedding hall which is still in use and on the square in front is a souvenir shop mainly selling items from the Napoleonic period.",a year ago,2025-03-15 22:00:34.201833,3.0,Thierry Girard,989,https://www.google.com/maps/contrib/100981567033985110977/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNKb3FlVmNBEAE,"We would like to thank the friendly staff who enthusiastically introduced us to the collection on the second floor. Thanks to you, I was able to have a fun and informative time in a beautiful building.",a year ago,2025-03-15 22:00:34.201833,5.0,조성경,256,https://www.google.com/maps/contrib/104418371033798123290/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUN4ODd5eW5RRRAB,"This museum has finally opened its doors. The work took very long months. I was very well received by those present. People listening to me and smiling. It's bigger than I thought but very rich historically. I admired the mummy, the huge camera, the irons. White sculptures made to the smallest detail Admiration in front of the large fresco. I will come back before I leave",a year ago,2025-03-15 22:00:34.202832,5.0,Jacques Le bras,374,https://www.google.com/maps/contrib/102902873019446259514/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNmOXFxRFZnEAE,"Excellent concept, useful informative articles.",2 months ago,2025-03-15 22:00:34.202832,5.0,Dr Nikolaos Petropoulos,262,https://www.google.com/maps/contrib/103986281390398610539/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURoMFBHbm9RRRAB,"There is no equipment allowing access to the museum with a wheelchair…. In 2023, in Rueil Malmaison….  However, since the law of February 11, 2005 for equal rights and opportunities, participation and citizenship of people with disabilities, establishments open to the public (ERP) must be accessible to all types of disabilities. They must allow everyone, without distinction, to be able to access them, circulate there and receive the information disseminated.  But I think about it, the old town hall also houses the wedding hall. So no weddings for PRMs or couples with friends in wheelchairs?",2 years ago,2025-03-15 22:00:34.203907,1.0,Thierry B,0,https://www.google.com/maps/contrib/101677969439334817734/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR1MWNUend3RRAB,"after more than 10 years in this city, it was with surprise that I learned while waiting for a friend that we had a museum. in fact, the heritage of our imperial city is perfectly represented there, the welcome is nikel krom. I agree, and that says it all.",2 years ago,2025-03-15 22:00:34.204909,4.0,Jean Héricotte,42,https://www.google.com/maps/contrib/104846819902276073033/reviews?hl=en
