id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURoajRITFZnEAE,Last home of the famous rock n roll singer from the Doors who died here in 1971.,6 months ago,2024-12-27 21:01:03.699314,5.0,Christopher Griffin,618,https://www.google.com/maps/contrib/101337800212881693506/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNSNEtPd213RRAB,I was totally blown away to think this was the last apartment and place Jim Morrison lived and was before he sadly died. RIP Jim,a year ago,2024-12-27 21:01:03.699314,5.0,Jennifer Clifford,381,https://www.google.com/maps/contrib/100944656774136350341/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNtN05lcU53EAE,"There’s a nice likeness on the door, but also a sign in English saying that Jim Morrison did not die here…perhaps to discourage the hordes who have also made the trek to Père Lachaise cemetery over the years. (Or maybe because he lived here, but actually died at a club on the left bank…)",2 years ago,2024-12-27 21:01:03.700314,4.0,Rod “Fromthe6tothe6th”,127,https://www.google.com/maps/contrib/110601899316976183009/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNaeGVXSmtBRRAB,"Cool to see, but sad at the same time",a year ago,2024-12-27 21:01:03.700314,3.0,greathousegulch,150,https://www.google.com/maps/contrib/108637253983669650388/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ3cHE3VUV3EAE,Jim did not die here.,4 months ago,2024-12-27 21:01:03.700314,5.0,Erika Beccafico,111,https://www.google.com/maps/contrib/100666574176622322174/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURrazlTLTd3RRAB,"This is where Jim and Pam stayed. Contrary to the Pam’s version of events, Jim didn’t die in this apartment. He died in Rock’n’Roll Circus. The restaurant across the street used to have a memorial to Morrison, with various objects from the apartment.",5 years ago,2024-12-27 21:01:03.700314,5.0,V K,298,https://www.google.com/maps/contrib/112529419283973697065/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNlbUxUUThnRRAB,A small graffiti and a music box that doesn't work anymore. Shame. You could add grafitis and information about his life,2 years ago,2024-12-27 21:01:03.701314,1.0,Lucky Penny,193,https://www.google.com/maps/contrib/106188334482281803719/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURSeWVPUU53EAE,Long live the lizard king.,a year ago,2024-12-27 21:01:03.701314,5.0,Nuno Jimmy Daun,2,https://www.google.com/maps/contrib/101464896621674450904/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURoaGNtSHdRRRAB,Piece of rock-history. Beautiful building altogether.,a year ago,2024-12-27 21:01:03.701314,5.0,Jyri Siltola,118,https://www.google.com/maps/contrib/110276210134818861351/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNEdFlDaDd3RRAB,No more any indication about this place,8 months ago,2024-12-27 21:01:03.701314,1.0,dario scoccia,527,https://www.google.com/maps/contrib/114381170811337371400/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR5dE82M21RRRAB,Nice but there is only one door. I was expecting the doors.,3 years ago,2024-12-27 21:01:03.703314,5.0,Hector Phone,103,https://www.google.com/maps/contrib/101152899719006267181/reviews?hl=en
