id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUN0MHBiY3h3RRAB,Shame for all Kurdish brothers we should take he’s grave back to our land,10 months ago,2024-12-27 19:57:00.168799,5.0,Teno_ Cutz,0,https://www.google.com/maps/contrib/103894107041979546110/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNUcU1uLWhBRRAB,My god forgive him 🤲🏻 …,7 months ago,2024-12-27 19:57:00.168799,5.0,AJ Haidari,0,https://www.google.com/maps/contrib/106509034279485854547/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNaMWRTTmdnRRAB,Will never be forgotten.,a year ago,2024-12-27 19:57:00.168799,5.0,Baran O,215,https://www.google.com/maps/contrib/100993694266761458602/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURUa2FqSnZRRRAB,"You can find a florist nearby, on the side street. I visited both Yılmaz Güney and Ahmet Kaya. One of the best artists ever. Your songs will always be listened to today and tomorrow, Ahmedo ✌️",7 months ago,2024-12-27 19:57:00.168799,5.0,GOOGLE USER,93,https://www.google.com/maps/contrib/113208664520970600131/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURYMjZqUGdnRRAB,"Sunday praise time 27.10.24. Add me on Instagram if you want laz_ibrahim5461 There was Ayle girl from Erzincan there, I loved you, you are a beautiful family, they live in France and they helped me there. Add me on Instagram if you want laz_ibrahim5461  I visited Ahmet Kaya Sunday. It's been 24 years and you still haven't died!!! One day later, 28.10. He already had a birthday You continue to live within us!!!!,",a month ago,2024-12-27 19:57:00.169799,5.0,LAZ IBO,26,https://www.google.com/maps/contrib/104271352181019049663/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURiX2NHQUpBEAE,May God have mercy on him. I hope no one will have to leave their home from now on.,4 months ago,2024-12-27 19:57:00.169799,5.0,Aristo Tales,51,https://www.google.com/maps/contrib/113808109950361393237/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURycDYtVWh3RRAB,Now I taught my eyes to cry That these tears are on your shy neck let her have a necklace That's me for you Have it as a gift when I leave.,5 months ago,2024-12-27 19:57:00.169799,5.0,mustafa yavuz,152,https://www.google.com/maps/contrib/114888934583223097507/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNYcS1yQl9BRRAB,"As I stand in front of the grave of Ahmet Kaya in the Cimetière du Père-Lachaise in Paris, I immediately become aware of the special significance of this place and the man who rests here. The tomb is simple, with an elegant stone bearing his name and a small portrait of the artist. Surrounded by a variety of flowers and small mementos left by his fans, this place exudes a respectful awe.  Ahmet Kaya was born in Malatya, Türkiye, in 1957 and grew up in an environment characterized by social and political unrest. Already in his youth he showed a passion for music and began combining traditional Kurdish melodies with modern influences. Kaya became known for his powerful lyrics, which often addressed social justice and Kurdish rights. I can imagine his childhood absorbing the various cultural trends that led him to advocate for the rights of the oppressed.  In the 1980s, Kaya gained widespread popularity in Turkey and among the Kurdish diaspora. His songs were characterized by a deep political message and reflected the longing for freedom and identity. As I reflect on this, I feel the power of his music, which was not only entertainment but also an expression of resistance against oppression.  Kaya lived at a time when the political situation in Turkey was characterized by repressive measures against ethnic minorities, especially Kurds. This led to his political persecution and ultimately his decision to go into exile. In 1999 he settled in Paris, where he continued to make music and continue his fight for Kurdish rights. The idea of ​​him wandering the streets of Paris while simultaneously processing the pain and longing for his homeland in his songs touches me.  Unfortunately, his life was marked by tragedy. In 2000, shortly after his arrival in France, Ahmet Kaya died of a heart attack caused by the stresses of his life and his exile. His death left a void in the music scene and in the hearts of his fans, who saw him as a symbol of Kurdish resistance and cultural identity.  In front of his grave, I feel the deep emotions associated with his life and legacy. It is a place of mourning but also of celebration of his music and his message. The many flowers and messages from fans who came to pay their respects are a testament to the enduring impact his art has on people.  Here, in front of Ahmet Kaya's grave, I realize that his life and his music are a powerful symbol of the struggle for identity and freedom. He remains alive in people's memories not only as a musician but also as an activist, and his legacy continues to inspire many who fight for social justice.  As of: December 22, 2023",2 months ago,2024-12-27 19:57:00.170800,5.0,Salvator Mundi,817,https://www.google.com/maps/contrib/114866778681917390632/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURSaDg3SjRnRRAB,"My two eyes... I was there yesterday morning. Rest in peace, beautiful person... A few shameless people destroyed this place. Also, what does it mean to engrave a name on a grave? They are uncivilized. Learn to respect. Rude!!!",a year ago,2024-12-27 19:57:00.170800,5.0,Selin,42,https://www.google.com/maps/contrib/101547809167502556061/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR1MEl2WE53EAE,"Frankly, seeing Ahmet Kaya's grave in France was a sad thing for me. Also, his grave was destroyed. Even though we do not have the same ideas, stance and beliefs, disrespecting a grave is not acceptable.",2 years ago,2024-12-27 19:57:00.170800,4.0,Mehmet Emin Kaya,222,https://www.google.com/maps/contrib/118183429826244382008/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM3OXZQZlpBEAE,"We have always been abroad, even his grave is strange in abroad 😔 he could have been more careful. We could put a picture of it.  May God have mercy on you, beautiful person. …",4 months ago,2024-12-27 19:57:00.171800,5.0,Vuslat Kizilelma,5,https://www.google.com/maps/contrib/101954955112668893965/reviews?hl=en
