id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNOM3JiemNBEAE,"Regularly offers temporary exhibitions (free), for dates find out on their site.",a month ago,2025-03-15 22:05:36.996308,4.0,Thierry Girard,989,https://www.google.com/maps/contrib/100981567033985110977/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUQ2M2NXdGhRRRAB,"A place certainly a little outdated but in an exceptional setting which allows you to come and see small temporary exhibitions, often free  The facade of the building is very beautiful  Presence of toilets in the building with free access  I recommend going there quickly",3 years ago,2025-03-15 22:05:36.997308,4.0,B2n,603,https://www.google.com/maps/contrib/109909738321282924114/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNfLXVYLXFRRRAB,"Great setting, but new website has become almost impossible to use. And above all, obviously, no more telephone switchboards exist and systematically refer to the Web...",2 months ago,2025-03-15 22:05:36.998408,1.0,Martin Ange Manouvrier,0,https://www.google.com/maps/contrib/114178469072325329138/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUN2Nk5pWENBEAE,"Defense Historical Service. I confirm, you just need to change the order of the words. The reception was so deplorable that it was historic. In their defenses, they do not understand the concept of service.",3 months ago,2025-03-15 22:05:36.998425,1.0,Julien Cuny,10,https://www.google.com/maps/contrib/106106923652717268075/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUR2d3BqNDJBRRAB,"I spoke with three people, and all three gave me conflicting information. In the end, the archivist was unaccommodating and extremely haughty.",2 months ago,2025-03-15 22:05:36.999426,1.0,Mars Project,0,https://www.google.com/maps/contrib/103997940486414867301/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNuLVlqZHBBRRAB,"Thank you to those who have the heavy task of preserving and therefore bringing to life with such care the memory of our heroes. The great human quality of the collaborators of the historical Defense service that I was able to meet today in the Louis Bravo to you, shadow resistance fighters.",5 months ago,2025-03-15 22:05:37.000426,5.0,B. C.,63,https://www.google.com/maps/contrib/112326111243871676766/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUROazVlM1NnEAE,"Your site, which was so functional a few years ago, has become a gas factory! I'm still looking for the maquis directory in GR 19P, which previously took me a few seconds! And that's all I'm talking about...",a year ago,2025-03-15 22:05:37.000426,1.0,Nicole Menetrier,0,https://www.google.com/maps/contrib/113268290430415202649/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNqX3FfVmhBRRAB,"Good morning I tried without success to search for the file of one of my ancestors, an officer under the empire. It is impossible for me to find the archive number and no one to answer the phone and no email address...It's a bit lamentable! M Chaze",10 months ago,2025-03-15 22:05:37.001426,1.0,sci39ruedebrest,0,https://www.google.com/maps/contrib/105888381162765910634/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUQ4MC03d3h3RRAB,"An essential archive for working on the military history of France. The procedure for making an appointment is simple; Online inventories are accessible and allow you to prepare your work sessions. The welcome on site is pleasant. The reading room is large, pleasant and well lit. As for the staff, they are welcoming, competent and helpful.",4 years ago,2025-03-15 22:05:37.001426,5.0,Olivier Joseph,171,https://www.google.com/maps/contrib/111840261496685320885/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNidXVfWHJ3RRAB,Trying to contact a manager of this shd service or my loved one who works there and left a little while ago. We manage to get no one.,7 months ago,2025-03-15 22:05:37.002425,1.0,Aurelie Froger,28,https://www.google.com/maps/contrib/103748929629019461976/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNDeTVhWWZnEAE,"always so complicated to get a date, you have to arm yourself with monstrous patience to get access to the boxes. At this rate the request for ratings has time to enter the national archives before we can go on site",4 years ago,2025-03-15 22:05:37.002425,1.0,Leo f,0,https://www.google.com/maps/contrib/108977748505595731322/reviews?hl=en
