id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURYeHVPcTdBRRAB,A bold gallery with a large space,2 months ago,2025-01-24 12:30:21.574194,5.0,Kasra Aliha,55,https://www.google.com/maps/contrib/105002806156860214125/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQwc3VtUHFRRRAB,"Possibly the nicest gallery in Paris with  a fantastic group of knowledgeable and welcoming staff. Daniel Templon is one of the early galleries in Paris, making history dating back to the 1960s, with artists that are among the best in Art World.",5 years ago,2025-01-24 12:30:21.575195,5.0,Antoine Adam,3,https://www.google.com/maps/contrib/100499175224785938836/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURFLXRfRDNRRRAB,Mister Wiley to its finest.,5 years ago,2025-01-24 12:30:21.576196,5.0,Ruddy Bordin,179,https://www.google.com/maps/contrib/117149557264399840584/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN4cDdDbE53EAE,One of the best,a year ago,2025-01-24 12:30:21.576196,5.0,Adrien Savary,391,https://www.google.com/maps/contrib/109122128205241089886/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNub3YzWXNRRRAB,Very beautiful exhibition by Pierre and Gilles. Very well presented works. Reception just a little cold...,3 months ago,2025-01-24 12:30:21.577195,5.0,Olivier Gendron,231,https://www.google.com/maps/contrib/116157323857752805401/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURINllpam53RRAB,"Beautiful and spacious gallery.  Pierre et Gilles exhibition superb, flashy, kitsch and psychedelic",4 months ago,2025-01-24 12:30:21.577195,5.0,Isabelle Leroy,388,https://www.google.com/maps/contrib/115803850355831528241/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURSNTdyVEh3EAE,"I've been there several times. The last for one of my favorite contemporary painters François Rouand. It was great, but too few people for such a great exhibition. Renowned gallery, clear, spacious and serious in terms of choices. 5 *****",a year ago,2025-01-24 12:30:21.578193,5.0,A. Margot,175,https://www.google.com/maps/contrib/100704615473849369366/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURld2J6NWJREAE,I often go to the Templon gallery. The artists represented there correspond to my tastes. I find that there has been a wind of renewal and youth in recent years. I enjoyed Jim Dine's latest exhibition.,2 years ago,2025-01-24 12:30:21.578193,5.0,Adrien Imparato,144,https://www.google.com/maps/contrib/105838795173439755691/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURIaHJPeHFRRRAB,"Beautiful space, pleasant welcome. Subscribe to see beautiful works of artists.",4 months ago,2025-01-24 12:30:21.579196,5.0,Olivier At,274,https://www.google.com/maps/contrib/100179178465602710727/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNuNV9TNE1BEAE,"Superb Gallery... Worth the detour, exhibitions that can rival Modern art museums... And the bonus, for those who have made a big trip, a great neighborhood, and the Beaubourg museum right next door.. .",3 months ago,2025-01-24 12:30:21.579196,5.0,ztnarf761,115,https://www.google.com/maps/contrib/104642924412905661878/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM1eE91d0N3EAE,"Icy reception during Paris Gallery Week 2023. This is damaging when we have questions related to the installation of rooms on two levels. The carpet, probably in a shade called “Belgian blue”, really radiates the exhibition pieces (to the point of forgetting to look up to inspect the ceiling in the basement). Fruitful exchanges with other visitors met on site and nevertheless tinged with questions. In this sense you have succeeded. The soundtrack with the voice of Malvida Reynolds in her folk songs which cover traditional American songs (and perhaps also Arkansas Indians) inspired me a lot.",a year ago,2025-01-24 12:30:21.580195,3.0,Théophile Mérandier,164,https://www.google.com/maps/contrib/110140097668479374857/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR4bXJYNHh3RRAB,"Demanding choices of artists, magnificent exhibitions. A must-see Parisian gallery. Currently, artist Chiharu Shiota.",a year ago,2025-01-24 12:30:21.581195,5.0,Catherine Cléret,67,https://www.google.com/maps/contrib/103173322110022223351/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNYc0k3NllnEAE,"A very beautiful, very bright gallery, both literally and figuratively. G seen the Electric Night exhibition I adore",3 months ago,2025-01-24 12:30:21.581195,5.0,Maqui Brown,22,https://www.google.com/maps/contrib/111459788169630009385/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNKbWZYelJ3EAE,"Original exhibition in progress: memory under the skin, by Chiharu Shiota. Clothing as a second skin. Assemblies of woven wires and metal rods.",a year ago,2025-01-24 12:30:21.582195,4.0,frozen58,"1,643",https://www.google.com/maps/contrib/113984592668001978377/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR4b1l5S0JBEAE,Let yourself be enchanted by the wonderful installations and creations of Chiaru Shiota in a very pleasant gallery on two levels.,a year ago,2025-01-24 12:30:21.582195,5.0,Christine Doyere,188,https://www.google.com/maps/contrib/116183250623632383391/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURaZ0x1c2x3RRAB,"Superb gallery! Robin Kid's immersive exhibition ""Kingdom of ends"" was fabulous. An old school, even retro atmosphere was there.  Amazing",a year ago,2025-01-24 12:30:21.583193,5.0,Kim Keita,37,https://www.google.com/maps/contrib/109514320536299156941/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR4bjctNFVnEAE,"Safe bet, less buzz than some other galleries. Exhibition Chiharu Shiota magnificent",a year ago,2025-01-24 12:30:21.583193,5.0,Yvan Martin,45,https://www.google.com/maps/contrib/115095303739074904370/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNud29uUS1RRRAB,Always very nice discoveries in this gallery with a very beautiful scenography.,3 months ago,2025-01-24 12:30:21.584488,5.0,Fabienne Sanchez,62,https://www.google.com/maps/contrib/115657768017355976069/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN5LWNXb3dRRRAB,"The gallery is spacious and the Planetarium exhibition was MAGNIFICENT, go go go go 🔥 …",3 years ago,2025-01-24 12:30:25.698658,5.0,El M,100,https://www.google.com/maps/contrib/100491457304647314931/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNtOW9XX3F3RRAB,A very nice gallery with interesting exhibitions,3 years ago,2025-01-24 12:30:25.698658,5.0,Stephane ThaiChang,907,https://www.google.com/maps/contrib/105540704379332945273/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR5N0tmOTVBRRAB,Modern and pleasant space to visit. Exhibitions that never leave you indifferent.,3 years ago,2025-01-24 12:30:25.699659,4.0,Sarah Palmier,98,https://www.google.com/maps/contrib/112909262927440344317/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURocVB5am9nRRAB,"Mecca of contemporary art. We almost forget that it is a business... In any case, this provision to the public is generous. The choice of artists, works and their presentation are remarkable. To discover according to your affinities in two neighboring places.",a year ago,2025-01-24 12:30:25.699659,5.0,Diord Jean francois,506,https://www.google.com/maps/contrib/106175267213208852542/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQteV82dFlnEAE,Beautiful exhibition room with Nobert Bisky currently on display,2 years ago,2025-01-24 12:30:25.700658,5.0,Nathalie Tereke,301,https://www.google.com/maps/contrib/105398027062734889659/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNEcFplMTdnRRAB,Very nice place!,9 months ago,2025-01-24 12:30:25.701658,5.0,Véronique Rotkopf,111,https://www.google.com/maps/contrib/115728465771196081415/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNma2NTTmN3EAE,Yegur redza gedzu bllos,3 weeks ago,2025-01-24 12:30:25.701658,1.0,Ļ DIABLO,0,https://www.google.com/maps/contrib/104714195276832140305/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMtbTcyN0JnEAE,superb exhibition on Pierre and Gilles 🥰🌷 it took me about an hour to go around knowing that I am really very slow and take a lot of photos …,2 years ago,2025-01-24 12:30:25.702658,5.0,Audrey Doré,5,https://www.google.com/maps/contrib/102442322967565984482/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR4cU4tUmN3EAE,Superb exhibition,a year ago,2025-01-24 12:30:25.702658,5.0,Alili A,57,https://www.google.com/maps/contrib/102070529193723913761/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNod29uSGlBRRAB,"Superb exhibition, thank you",a year ago,2025-01-24 12:30:25.703658,5.0,Emi Rose,178,https://www.google.com/maps/contrib/104244557652570790786/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNscU11NVJREAE,Beautiful exhibitions but very cold and unwelcoming staff,a year ago,2025-01-24 12:30:29.827093,3.0,Tom Tisserand,30,https://www.google.com/maps/contrib/118191952711818230820/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURaN3YtN0pBEAE,"I love this gallery, the exhibitions are always great",a year ago,2025-01-24 12:30:29.828093,5.0,Sophie Pra,14,https://www.google.com/maps/contrib/110573954600139420476/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNvbnEzOWVBEAE,Very nice gallery. The welcome can be a little cold (without being unpleasant). The place and what is presented there deserve regular visits.,5 years ago,2025-01-24 12:30:29.828093,5.0,Benoit Bennetot,"1,680",https://www.google.com/maps/contrib/113444538019192827699/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQtNnBhVE53EAE,...this gallery is like a TRENDSETTER when it comes to art ...the Pierre & Gilles exhibition is THE PLACE TO BE for all art lovers,2 years ago,2025-01-24 12:30:29.829095,5.0,Carlos Pozuelo Pino,71,https://www.google.com/maps/contrib/113960621885050450932/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNXbmUtNDl3RRAB,Great exhibition and set up of the Oda Jaune exhibition. The welcome was a bit cold after the staff but the place is great!,2 years ago,2025-01-24 12:30:29.829095,5.0,Mia Rakovska,1,https://www.google.com/maps/contrib/105762980371661603411/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR4eUtuTFNREAE,"Very beautiful exhibition by CHIHARU SHIOTA, very moving, I loved it 💖💖💖 …",a year ago,2025-01-24 12:30:29.830094,5.0,michele billa,0,https://www.google.com/maps/contrib/112649957413042800023/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNCN3FDc1BREAE,Perfect ! Thank you because the Pierre & Gilles exhibition was magnificent,2 years ago,2025-01-24 12:30:29.830094,5.0,Valérie,56,https://www.google.com/maps/contrib/116941360418261649661/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN5MEp2dWp3RRAB,Very nice gallery with great artist exhibitions.,4 years ago,2025-01-24 12:30:29.831094,5.0,Apolline Bourgouin,0,https://www.google.com/maps/contrib/103844211733975047460/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURCNEt1dTBRRRAB,"Alright ! One floor and one basement, there is space, we feel good there, well done!",2 years ago,2025-01-24 12:30:29.831094,5.0,Julien Thivet,630,https://www.google.com/maps/contrib/117806104759109384968/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVa29DdThRRRAB,Never miss the exhibitions in this gallery. It's always perfect,5 years ago,2025-01-24 12:30:29.832093,5.0,Gerard Paul Garnier,180,https://www.google.com/maps/contrib/102691062304684885423/reviews?hl=en
