id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUREa0pUaGxRRRAB,Beautiful modern church near Bastille and in 11th arondissment. Peaceful.,8 months ago,2024-12-27 20:18:51.718449,5.0,Dexter Cuizon,"1,088",https://www.google.com/maps/contrib/106216696365161561003/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNRN0tDXzBnRRAB,"Kind of strange to write a review of a church, but we attended Mass here on a recent Sunday (speaking very little French; we're American), but enjoyed it very much. Peaceful (open doors) during the week, and friendly on Sunday.",8 years ago,2024-12-27 20:18:51.719449,5.0,Charles Cuny,29,https://www.google.com/maps/contrib/107768089776343374275/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR4bWV6SnNBRRAB,"You need to do something about the bells ringing every hour. Specially on the weekends, it’s unbearable for the neighbours. We need to rest!",a year ago,2024-12-27 20:18:51.719449,1.0,Jimena Pagalday,16,https://www.google.com/maps/contrib/115297405746689999604/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURHcUtqczZ3RRAB,This is a modern style church in Paris.,3 years ago,2024-12-27 20:18:51.719449,4.0,Christine GINET,439,https://www.google.com/maps/contrib/114055647648493803955/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN4Z3RxcTBnRRAB,"Church built in 1998. Very modern appearance. Do not hesitate to enter, it asks to be visited. In particular a magnificent statue of the Virgin.",a year ago,2024-12-27 20:18:51.719449,4.0,Kevin Vozelle,236,https://www.google.com/maps/contrib/100925232173938906117/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURtOHZTSk5nEAE,"It is a very small church located in a very busy and noisy place. However, it is almost invisible. The interior is very sober.",2 years ago,2024-12-27 20:18:51.720449,5.0,Catherine ROY,336,https://www.google.com/maps/contrib/106216669748523868259/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNaX3JIS1JBEAE,"Very beautiful, sober church, on the street but open to all! everything is magnificent in art: the cross, the chapel etc. and above all an atmosphere, no offense to certain commentators, very fervent and a priest of fire to encourage speech and communion between all. THANKS",a year ago,2024-12-27 20:18:51.720449,5.0,Martine BATIFOUYE,0,https://www.google.com/maps/contrib/102795809741073796723/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMxdE5pWktBEAE,"A Jewel of Modernity and Peace in the Heart of Paris  Rating: ★★★★★  Text of the notice: The Notre-Dame d'Espérance church, located on rue de la Roquette in Paris, is a true masterpiece of modernity and living history. This church is unlike any other; it is a symbol of renewal and hope in the midst of the bustle of the city.  The most striking element of this church is undoubtedly the Cross of Hope, a masterful work by Nicolas Alquin. Carved from an 18th century oak beam, this cross represents both the Incarnation of Christ and his Resurrection, symbolized by three gold squares forming an invisible cross. This representation, devoid of any suffering, invites you to a moment of deep meditation and inner peace.  The current church, consecrated in 1997, is distinguished by its brightness and contemporary style, contrasting with traditional religious buildings. Each architectural element seems designed to invite contemplation and serenity.  The Bastille district, where the church is located, is steeped in history. Once occupied by a Cistercian abbey and a neighborhood of artisans, it played a key role in the Revolution of 1789. This historical richness is felt in the atmosphere of the church, which seems to connect the past and the present in a harmonious way .  The Notre-Dame d'Espérance church is also the fruit of a long history of social dedication, initiated by Father Jean-Émile Anizan, and perpetuated by the congregation of the Sons of Charity. This social heritage is felt in the warm welcome and the vocation of the church to be a refuge for all.  In conclusion, the Notre-Dame d’Espérance church is much more than a place of worship. It is a space of calm and reflection, a meeting point between art, history and spirituality. A visit is essential for anyone looking for a moment of peace in the vibrant city of Paris.",a year ago,2024-12-27 20:18:51.720449,5.0,Stephane Lepeltier,72,https://www.google.com/maps/contrib/102156768596282946496/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNUal8zaHRnRRAB,Modern church that looks more like a gymnasium than a place of Christianity. We don't feel the religious side.,7 months ago,2024-12-27 20:18:51.723450,1.0,J Klakloh,0,https://www.google.com/maps/contrib/108478082481052869120/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ2OE5QelRREAE,I passed by at dinner time and went in to take a look. The bishop and staff were very friendly in introducing and communicating with each other.,3 years ago,2024-12-27 20:18:51.723450,5.0,糖水水,482,https://www.google.com/maps/contrib/108196993867162727039/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN4MjlubGxRRRAB,This “church” seems like some kind of soulless American evangelical house of worship. I didn't feel any spirituality there. It looks like a waiting room at a dentist's office or branch of some administrative location. Avoid if you believe in God.,a year ago,2024-12-27 20:18:51.723450,1.0,Monsieur Laïcité,0,https://www.google.com/maps/contrib/105178043027919375642/reviews?hl=en
