id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUQzcHBpckZnEAE,So many statues adorn the gardens close to the Louvre. They are all worthy of a look.,a month ago,2024-12-27 21:12:32.588832,5.0,Mike Day,280,https://www.google.com/maps/contrib/101631451196518773367/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNsd2FXSXZBRRAB,"Review: Monument à Pierre Marie René Ernest Waldeck-Rousseau  During my recent visit to the Monument à Pierre Marie René Ernest Waldeck-Rousseau, I was struck by the significance and beauty of this tribute to an influential French statesman. Located in a prominent spot, this monument commemorates the life and achievements of Waldeck-Rousseau.  The monument itself is an impressive sight. The sculpture of Waldeck-Rousseau captures his strong and dignified presence, paying homage to his contributions to French politics and society. The attention to detail and craftsmanship of the statue are truly commendable, making it a remarkable piece of art.  What I found particularly compelling about this monument was its ability to convey the essence of Waldeck-Rousseau's legacy. As I stood there, I couldn't help but reflect on his dedication to social justice and his role in shaping modern France. It reminded me of the importance of leadership and the impact one person can have on a nation.  The location of the monument is also noteworthy. It is situated in a scenic area, surrounded by well-manicured gardens and historical landmarks. This creates a serene and picturesque setting, allowing visitors to appreciate the monument in a peaceful atmosphere.  Furthermore, the monument serves as a place of remembrance and inspiration. It attracts both locals and tourists who come to pay their respects and learn more about Waldeck-Rousseau's accomplishments. It serves as a reminder of the values and principles he stood for, encouraging visitors to reflect on their own roles in society.  In conclusion, the Monument à Pierre Marie René Ernest Waldeck-Rousseau is a remarkable tribute to a remarkable statesman. Its artistic beauty and symbolic significance make it a must-see for those interested in French history and politics. I highly recommend taking the time to visit this monument and reflect on the enduring impact of Waldeck-Rousseau's contributions.",a year ago,2024-12-27 21:12:32.589832,5.0,ChefLaurent DE,601,https://www.google.com/maps/contrib/108476250316059010534/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN1b2JxWlBnEAE,"It was that much clean , and the owner was rude",2 years ago,2024-12-27 21:12:32.589832,5.0,Hardi Taimur,625,https://www.google.com/maps/contrib/105556152089061545311/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURHdUl2MGxRRRAB,Beautiful.,3 years ago,2024-12-27 21:12:32.589832,5.0,Matt Sears,292,https://www.google.com/maps/contrib/111488139799822215980/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR1NkxiX1J3EAE,"Very pretty monument dedicated to Waldeck-Rousseau, created by the artist Laurent Honoré Marqueste in 1909. This work, in marble, stone and bronze, was inaugurated in 1910. It is installed at the bottom of the Jeu de Paume terrace. I really like this work where I feel the artist's sense of detail. And more particularly on the three characters facing the bust.",2 years ago,2024-12-27 21:12:32.589832,5.0,Christophe Giroire,"1,289",https://www.google.com/maps/contrib/101447090601616576864/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNocnB1SkR3EAE,"In February, the park does not seem so attractive, but the atmosphere and the presence of monumental buildings nearby make a walk to the main museum interesting and exciting",a year ago,2024-12-27 21:12:32.590833,5.0,Oleh Nariichuk,364,https://www.google.com/maps/contrib/105606899777252901247/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNqdmEyeXlBRRAB,"If you are a passing tourist or Parisian, don't hesitate to stop by... For a photo or for a quiet moment 🇫🇷😉. Art and monuments have never hurt anyone 😊.",8 months ago,2024-12-27 21:12:32.590833,5.0,Paris Univers,"1,279",https://www.google.com/maps/contrib/100360118607709965904/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNLbEpYS3N3RRAB,A MAGNIFICENT MONUMENT TO DISCOVER IN THE JARDIN DES TUILERIES PARIS IT IS PART OF THE HISTORY OF FRANCE WELCOME TO THE JARDIN DES TUILERIES PARIS WELCOME TO PARIS SEE YOU SOON,3 years ago,2024-12-27 21:12:32.590833,5.0,BOUJEMAA KARKOUCH,451,https://www.google.com/maps/contrib/103525854471886374169/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURLemRXRmFREAE,"Monument in tribute to Waldeck Rousseau (born in Nantes in 1846 and died in Corbeil in 1904), politician when he was Minister of the Interior passed the law authorizing unions in 1884. As president of the council he pardoned the Captain Dreyfus in 1899 and was the main architect of the law on associations in 1901.",3 years ago,2024-12-27 21:12:32.590833,3.0,Thierry Girard,987,https://www.google.com/maps/contrib/100981567033985110977/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR4NTh5VVlnEAE,Stunning,a year ago,2024-12-27 21:12:32.591833,5.0,Valentin Guezou,182,https://www.google.com/maps/contrib/103040178865662999789/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQtNVpfX09REAE,Nice statue,a year ago,2024-12-27 21:12:32.591833,5.0,Snowloaf,"1,274",https://www.google.com/maps/contrib/116438702703009589558/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNJbWZDTl93RRAB,I just liked it...,6 years ago,2024-12-27 21:12:32.591833,5.0,Александр,116,https://www.google.com/maps/contrib/103287718946722169562/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnbktEVEJnEAE,Great place!,6 years ago,2024-12-27 21:12:32.591833,5.0,Дмитро Банах,332,https://www.google.com/maps/contrib/110004913780412683068/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUM1XzkyVG9BRRAB,,a year ago,2024-12-27 21:12:32.592833,5.0,AKRAM NAILI,81,https://www.google.com/maps/contrib/108927424015071693650/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN4b3R1Njd3RRAB,,a year ago,2024-12-27 21:12:32.592833,5.0,Gilevych Nataliia,49,https://www.google.com/maps/contrib/115985339503076979036/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN1bE1fMW1nRRAB,,2 years ago,2024-12-27 21:12:32.592833,3.0,Manuel Gonzalez Garcia,426,https://www.google.com/maps/contrib/111997789120923483992/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQwck9EVWJREAE,,5 years ago,2024-12-27 21:12:32.592833,5.0,Сергей Шумов,221,https://www.google.com/maps/contrib/108759183730716727602/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR3N05iNWVREAE,,6 years ago,2024-12-27 21:12:32.593833,5.0,Ahsan Shah,43,https://www.google.com/maps/contrib/113214228531499372782/reviews?hl=en
