id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNmakx6Q3BRRRAB,"Place has seen better days. It's a relatively expensive ""museum"" when you consider what it has to offer. Ticket includes a small glass of wine which on the day of our visit was not particularly good. Overall we expected much more in a country and city with an amazing wine heritage. Overall a huge disappointment.",,2024-12-28 16:16:25.587220,,Andreas Modugno,40,https://www.google.com/maps/contrib/116723942733045003433/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQzMGZTRXRRRRAB,"Excellent place overall: friendly staff, delicious food and drinks, cozy place, this is my favorite restaurant so far! 100% recommended.",,2024-12-28 16:16:25.588219,,Ana Maria Gonzalez,13,https://www.google.com/maps/contrib/110734736077231452736/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNuclpmM1ZnEAE,Nice location and truly educational. Plus you can browse the exhibition with a glass of wine in hand! Audio guides included.,,2024-12-28 16:16:25.588219,,Linas Zajankauskas,226,https://www.google.com/maps/contrib/100105162921863717728/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUROX3JqUlFnEAE,"We went for lunch here last Friday. What a fantastic experience! The service, is immediately wonderful. We had the lovely Corentine wait on our table. So friendly. The starters of foie gras and the crab/avocado were delicious. The lamb and onglet de boeuf... excellent. The truffle dauphinois, sublime. We finished with cheese and the pistachio, raspberry, cream dessert. Delicious. We will be going back very soon. Highly recommend",,2024-12-28 16:16:25.589220,,Nicky Flanagan,14,https://www.google.com/maps/contrib/100630976809543882582/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNKOFlIZTN3RRAB,"The restaurant in this Wine Museum is a hidden gem. I had the full course lunch with cheese and wine, food was fantastic paired with good wine.  Emmanuel was friendly and introduced us the various wine regions in France and their grapes. It’s such an amazing experience to dine in a 14th century wine cellar, a must if you come to Paris.",,2024-12-28 16:16:25.589220,,Kwek Chang,6,https://www.google.com/maps/contrib/105966083742160467521/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNkMnVPSzZnRRAB,"Amazing menu for reasonable price (for Paris)! Fantastic service, very cool location and the best lamb I’ve ever eaten. Not to be missed!",,2024-12-28 16:16:25.590220,,matilda yates,2,https://www.google.com/maps/contrib/110845345334792970611/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR1b00zSU1BEAE,"What an amazing experience! Unlike the more touristy wine tasting classes, Emmanuel let us choose the wines we wanted to taste from their extensive wine cellar, and even purchase them. He was so friendly, knowledgeable and patient, and his English was fantastic. Especially when you consider the myriad technical terms and wine making techniques he needed to use to answer our endless questions! Reservations were easy- you just have to email (they don't have it available online). Marie Elise took extra time to helped us package up our wine securely, so it could travel home in our suitcases. She was so kind, and a delight to talk with, and was able to make further wine recommendations based on our tasting. And you get to tour the museum with an audio guide. It was quirky, we learned a lot, and it winds through the ancient wine caves. Thank you so much, we had an amazing experience!",,2024-12-28 16:16:25.590220,,Kathleen Campbell,4,https://www.google.com/maps/contrib/116365403208894043916/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURlLVpQaUVnEAE,"With a large group of around 16 people we had lunch at 49 euros per head, starter, main dish, cheese and dessert.  The good wine (white, red and dessert wine) kept coming and we all had more than enough. Bread was yummy and crunchy.  Staff were very attentive.",,2024-12-28 16:16:25.592220,,Naakie Ababio,129,https://www.google.com/maps/contrib/118408966154010158207/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNCak1TUDdRRRAB,This place was a little difficult to find.  Once there the staff welcomed us just before opening.  Lunch was delicious and the wines were great.  Staff speaks limited English but that didn't cause any problems.  Popular with the locals so make a reservation.,,2024-12-28 16:16:25.592220,,Ted Gee,31,https://www.google.com/maps/contrib/106810347460797682275/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxbmFHT0JBEAE,"Very difficult place to locate. It's hidden back behind large wrought iron gates in an out-of-the-way location.  Caves themselves are intriguing visually and the story is fascinating. However, the museum itself was a little boring. It looked like a collection of flea market finds. Also, if they want to attract international visitors, they should have the signage in more than one language. The audio set was helpful though. Nice stop on a rainy day.",,2024-12-28 16:16:25.593221,,Kathleen Schneider,51,https://www.google.com/maps/contrib/109617427920025274099/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNSMThfeGV3EAE,"If you book a wine tasting course, make sure to send a follow-up email specifying English if you don't speak French. We showed up for our wine tasting course and were told it wouldn't be a problem for the instructor to accommodate our English request as we understood little French. When the course started, it took only moments for us to be excluded. The instructor would speak for 3-5mins in French and then turn to us and ask if we understood, or simply summarize it in 1 sentence and move on. There were many insults made about us (in French to the group), and when the instructor made a racist comment about us, it was time to leave. The instructor made one last jab at us as we left the tasting course.  On our way out, Yoan assisted us, and quickly came up with a solution. He explained that his English wasn't the best, but if we wanted, we could proceed with a private wine tasting with him in English. We agreed, and our experience changed almost instantly. Yoan turned our unpleasant experience into something amazing. His English was not a problem for us. He was knowledgeable, patient, informative, and full of real-world tips about wine.  It was a sensational experience.  If not for Yoan, this would be a 1* review. If we had Yoan from the start, it would be a 5* review.  We would recommend this experience, but ask for Yoan.  **Edited date visited and added proof of purchase for owner.",,2024-12-28 16:16:25.593221,,Evan Overbaugh,1,https://www.google.com/maps/contrib/105123312561943147363/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMydF9QU3hRRRAB,The museum itself is a little dull but the tasting afterwards was worth it! Our sommelier helped us understand what we were tasting and how to identify certain notes in ways we would have never thought of! Would absolutely recommend,,2024-12-28 16:16:25.594221,,Laura Magner,74,https://www.google.com/maps/contrib/115316571223512591299/reviews?hl=en
