id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUQ3MV9yVXlBRRAB,Interesting art pieces! Worth visiting,3 months ago,2024-12-28 16:21:05.157797,5.0,Kiki,0,https://www.google.com/maps/contrib/105999522952641603729/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNPLXNYSWxBRRAB,"I bought art feom Next Street Gallery of Modus in Place des Voges and had it shipped to Italy. Shipping was very late and the artwork arrived without the wooden crate we agreed on. Luckily undeamaged. I was promised 2 catalogues of the artist, but givem only one. The gallery managers does not respond to messages to resolvw the problem. It has been over 2 months now. Not a professional behaviour.",2 years ago,2024-12-28 16:21:05.157797,2.0,Lionello Guelfi,0,https://www.google.com/maps/contrib/115535236891929168998/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNnb3BfTEZ3EAE,"Such an amazing gallery in Paris! This gallery is exclusively dedicated to street and urban artists. They had works from Martin Whatson, Snik, Kurar, Os Gemeos and even Banksy! The often organize openings and late night sessions, not to miss in the city. Una divertida galeria de arte dedicada en exclusiva al arte urbano y street art en Paris.",7 years ago,2024-12-28 16:21:05.157797,5.0,Adrián Blanco,4,https://www.google.com/maps/contrib/103053679422901888668/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNVa28yYmp3RRAB,"An incredible art gallery!! I highly suggest to both locals and tourists. It is a very well curated street art collection, and it is located along the beautiful Place des Vosges.",5 years ago,2024-12-28 16:21:05.158797,5.0,Margaret,1,https://www.google.com/maps/contrib/112349451101521459290/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURRdUlfTVlREAE,The Musee du Quai Branly is part of a two stop afternoon near Eiffel Tower. This is a beautifully presented collection of art from many cultures with quality works presented impeccably. The staff and museum guards are helpful and FRIENDLY! I had more than a couple nice conversations about the art with staff that cared about the art and helping you make a connection to the collections.,7 years ago,2024-12-28 16:21:05.158797,5.0,guo wshu,138,https://www.google.com/maps/contrib/118276682050843378838/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURab3Z6TzN3RRAB,Amazing gallery around Street art,a year ago,2024-12-28 16:21:05.158797,5.0,Yuval Goldstein,76,https://www.google.com/maps/contrib/113883132294050582687/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNRbzhtZm1RRRAB,Fun and vibrant contemporary art!,8 years ago,2024-12-28 16:21:05.159797,5.0,Joseph Dermody,21,https://www.google.com/maps/contrib/102288456547684813251/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURZOHJfNk53EAE,Cool,5 years ago,2024-12-28 16:21:05.159797,5.0,Stine Binder (Stine),110,https://www.google.com/maps/contrib/103331071751343618709/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN0dDVTYWhRRRAB,"Very pretty art gallery, with an original choice of sculptures. Located under the arcades, I was seduced by these faceless sculptures and the light filtered and cut by the arcades. Even for the uninitiated like me, I remained captivated by what I saw",10 months ago,2024-12-28 16:21:05.159797,5.0,Daniel ANDRES,225,https://www.google.com/maps/contrib/112136924799621785583/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURUeEk3VWt3RRAB,Superb gallery with cutting-edge programming. The gallery owners are truly passionate and therefore provide good advice. Very nice selection of artists. I recommend!,7 months ago,2024-12-28 16:21:05.159797,5.0,Grégory Franchini,22,https://www.google.com/maps/contrib/103828492873905452732/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURWdi11RGlBRRAB,Thank you to the professional we met on December 19. A attentive person who received us with professionalism and kindness. Who took the time to discuss a “potential purchase” with my 10-year-old son with a lot of humor and patience. Thank you for this wonderful moment! Little French Indians and their mother. 😉 …,a year ago,2024-12-28 16:21:05.160798,5.0,Mina Obgo,40,https://www.google.com/maps/contrib/111177926820243980692/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURvNk5PazNRRRAB,"Surprising place where they exhibit urban art, their pieces are impressive and colorful. If you like this artistic trend you will really enjoy this gallery. The young woman treated us very kindly.",5 years ago,2024-12-28 16:21:05.160798,5.0,Elias Orozco,227,https://www.google.com/maps/contrib/108051634051565993371/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQtM0xyRGpRRRAB,"Good morning Thank you for your response. And what do you think about turning off your lights as soon as your store closes, especially the very powerful lights (halogen?) that illuminate the exterior wall? Some galleries on the square, for example, only light the works on display and with LEDs. ---- Hello, I could see when passing your store that the lights were on, even after closing. However, since October 2022, it has been illegal to leave a window or commercial sign lit after 1 a.m. This is due to the energy crisis we are going through and which has a direct impact on our climate. Therefore, I invite you to turn off your lights in order to respect the law, but also to help save our planet. If everyone does their part, it will have a positive impact on our collective carbon footprint.",2 years ago,2024-12-28 16:21:05.160798,5.0,Aymeril Hoang,117,https://www.google.com/maps/contrib/103968069935775938143/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNUbHVYSThnRRAB,"A showcase at the cutting edge of current street art bringing together historical figures and some of the most promising young artists. Furthermore, and the icing on the cake, we find well-chosen works by great masters of modern and contemporary art: Warhol, Vasarely, Wesselmann, Combas to name a few. Special mention also for the welcome and advice, again",7 months ago,2024-12-28 16:21:05.160798,5.0,Lionel Aymeric Simon,0,https://www.google.com/maps/contrib/104907390424021005861/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxNXItaU9REAE,"A very nice gallery on street art which presents well-known and emerging artists.  It’s a delight for the eyes.  We are quickly immersed in a magic of colors and sensations.  I recommend a visit.  You will find other galleries around this beautiful and authentic Place des Vosges.  If my opinion was useful to you, don't hesitate to like 👍🏼, it's always a pleasure.",3 years ago,2024-12-28 16:21:05.161797,5.0,A Z,0,https://www.google.com/maps/contrib/111582856514586096176/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUM5cmR5TjlnRRAB,Always on top,9 months ago,2024-12-28 16:21:05.161797,5.0,Morry Thoo,444,https://www.google.com/maps/contrib/113931115507138888709/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMyeF9lck53EAE,Very nice gallery. We were just passing through the Place des Vosges and we ended up staying there all afternoon!! I advise!,2 years ago,2024-12-28 16:21:05.161797,5.0,Lea Sorrentini,0,https://www.google.com/maps/contrib/102569751450826899041/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBdVBfWVBBEAE,"Very nice gallery which offers a wide selection of artists. An artistic line that will delight lovers of urban art. Very warm welcome, I recommend NextStreet Gallery.",6 years ago,2024-12-28 16:21:05.162798,5.0,Pauline Fezas,0,https://www.google.com/maps/contrib/110721929798330330045/reviews?hl=en
