id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUR2ajl1R3hBRRAB,Love this church,2 days ago,2024-12-27 20:34:52.871249,5.0,Melad Fahmy,50,https://www.google.com/maps/contrib/106126479330619195422/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNVbnBQYVFBEAE,"It is good to live at Sainte Marie Church. With an extraordinary pastoral team. Always available, very attentive. With the Sainte Marie church, you no longer go home like before.",5 years ago,2024-12-27 20:34:52.871249,5.0,lydia BOISNOIR,0,https://www.google.com/maps/contrib/102521016426000401993/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNVaGVIQ2NBEAE,"A place of prayer and peace. The welcome, the services, the pilgrimages, the teachings offered by the priests, everything is exceptional. A path of light and hope that soothes and does good.",5 years ago,2024-12-27 20:34:52.872248,5.0,Anne Jozeau,0,https://www.google.com/maps/contrib/114242010429797040498/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURwczVMYnh3RRAB,"Excellent after-sales service, orders delivered within 30 minutes. A miracle every time",a year ago,2024-12-27 20:34:52.872248,5.0,Felipe Bachomo,12,https://www.google.com/maps/contrib/116914497140011713793/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURZbmVLNnlnRRAB,"Avoid this church They ignore the truth in the Bible. Do not believe the atmosphere of the church and the words of the people, but see whether the Word of God is well delivered or not.  Avoid this chruch..",5 years ago,2024-12-27 20:34:52.872248,1.0,Juna Kim,159,https://www.google.com/maps/contrib/113991623896925710605/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNVM3FTQTh3RRAB,The Holy Mary Church must be known to all Christians; we must continue to make known and help all our brothers and sisters.,5 years ago,2024-12-27 20:34:52.873249,5.0,Eric CORLET,0,https://www.google.com/maps/contrib/117308239074729911217/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNJeHRteXhnRRAB,Meeting Father André is a timeless and unforgettable magical moment,6 years ago,2024-12-27 20:34:52.873249,5.0,ROSE TONNERRE,36,https://www.google.com/maps/contrib/114153359207516804291/reviews?hl=en-GB
ChRDSUhNMG9nS0VJQ0FnSUNLaV9OWhAB,Very reverential and overall good.,3 years ago,2024-12-27 20:34:52.873249,3.0,Marie Reine,22,https://www.google.com/maps/contrib/114394599572282168041/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURjMGUyNWp3RRAB,"Reception, liturgy, teaching are excellent.",4 years ago,2024-12-27 20:34:52.873249,5.0,Leonor Nicolas,0,https://www.google.com/maps/contrib/103335322467403067797/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVdnFYanpBRRAB,Very beautiful place🙏🏾 …,5 years ago,2024-12-27 20:34:52.874249,5.0,Rod Edson,11,https://www.google.com/maps/contrib/103823898016695736393/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURyeUs2aDZRRRAB,,5 months ago,2024-12-27 20:34:52.874249,5.0,Clémence Laveggi,0,https://www.google.com/maps/contrib/104437063569397211984/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURqNU96dkhnEAE,,7 months ago,2024-12-27 20:34:52.874249,5.0,Teddy Cayau,26,https://www.google.com/maps/contrib/100270578011250112586/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNqMTVta0d3EAE,,8 months ago,2024-12-27 20:34:52.874249,5.0,Ann'So BOISSAY,3,https://www.google.com/maps/contrib/110428130936439831371/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNseHI3NTl3RRAB,,a year ago,2024-12-27 20:34:52.875249,5.0,Thomas MAËS-MARTIN,100,https://www.google.com/maps/contrib/109234466906720863795/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNSOHVPZnFRRRAB,,a year ago,2024-12-27 20:34:52.875249,5.0,Bertrand BAYARD,0,https://www.google.com/maps/contrib/104899258248004319998/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNXOG9XQ0VBEAE,,2 years ago,2024-12-27 20:34:52.875249,5.0,Damian Prusinowski,11,https://www.google.com/maps/contrib/117636368641846799781/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNHaFltVzF3RRAB,,3 years ago,2024-12-27 20:34:52.875249,4.0,Marie Louise Gerion,0,https://www.google.com/maps/contrib/111499717121571869861/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURDODV6YUVBEAE,,4 years ago,2024-12-27 20:34:52.875249,5.0,deedeecary Deedee,0,https://www.google.com/maps/contrib/104288922852953608277/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNzalpyNDRBRRAB,,4 years ago,2024-12-27 20:34:57.031831,5.0,marthe bernos,0,https://www.google.com/maps/contrib/103266502657436207760/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURVcTh1dUtnEAE,,5 years ago,2024-12-27 20:34:57.031831,5.0,Mylene Raabon,27,https://www.google.com/maps/contrib/113261802635184375761/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVcmRYTHhRRRAB,,5 years ago,2024-12-27 20:34:57.031831,5.0,schetty chris,0,https://www.google.com/maps/contrib/104936109957775181177/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVb1p1T2dBRRAB,,5 years ago,2024-12-27 20:34:57.032831,5.0,Colette gouss,0,https://www.google.com/maps/contrib/108824040631650822012/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURrODVMcUtnEAE,,5 years ago,2024-12-27 20:34:57.032831,5.0,Claude Nicolas,0,https://www.google.com/maps/contrib/117335442647576237289/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM0eFllNk93EAE,,5 years ago,2024-12-27 20:34:57.032831,5.0,paulette breter,0,https://www.google.com/maps/contrib/113271340756528545259/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNZMjhPTmZREAE,,5 years ago,2024-12-27 20:34:57.032831,5.0,olivier kdj,26,https://www.google.com/maps/contrib/109639845197590618548/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURJcFlEcnh3RRAB,,5 years ago,2024-12-27 20:34:57.032831,3.0,campbell immo,61,https://www.google.com/maps/contrib/118419109922691604956/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBeGVIcFhREAE,,6 years ago,2024-12-27 20:34:57.033831,5.0,Jane Machado,2,https://www.google.com/maps/contrib/113859072554827429872/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBcTlMVFBnEAE,,6 years ago,2024-12-27 20:34:57.033831,4.0,marco marco,38,https://www.google.com/maps/contrib/107044039034837723630/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURnbk5YZnlnRRAB,,6 years ago,2024-12-27 20:35:01.141837,4.0,Enza Wassema,10,https://www.google.com/maps/contrib/115406327089539293713/reviews?hl=en
