id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUMzN01hdjhRRRAB,It's a very good memorial. A bit heart wrenching to study about the details of the Holocaust.,a month ago,2024-12-27 21:27:34.632907,5.0,Rahul Agarwal,230,https://www.google.com/maps/contrib/118183620553811056026/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR2LU16MjZRRRAB,"Museum of the holocaust in France. A lot of information, too much for one visit and too depressing. Takes a very personal approach to relating the history of the Shoah. It’s free but a lot of the exhibition is in French with some English .",a week ago,2024-12-27 21:27:34.632907,4.0,Gerard Bourcier,9,https://www.google.com/maps/contrib/105595256134505321824/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURGLXNTb3JBRRAB,"Okay museum, multiple exhibitions at the same time. Nothing incredible about this memorial, just your another museum with lots of pictures, videos, listening spots, and other museum stuff.",a year ago,2024-12-27 21:27:34.632907,3.0,Janek,166,https://www.google.com/maps/contrib/115705839705538609059/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURSMU03VXNBRRAB,I just attended service for Holocaust remembrance Day. The cancer was amazing and sadly I couldn't stop crying. Is very touching ceremony and it was very interesting because there was no rain during the ceremony and when the ceremonies stopped the rain started to pound like it was hitting you. Felt like it was some kind of divine intervention. Very powerful to be in Paris on Holocaust remembrance Day. The French were with their Vichy government. Shameful and disgraceful. I found the remembrance touching.,a year ago,2024-12-27 21:27:34.632907,4.0,Karen Biow,274,https://www.google.com/maps/contrib/108469322845957856452/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMwclptYUdBEAE,"In my many trips to Paris, I have never been here even though I have always wanted to come here. I am glad I know French because I was able to understand the testimonial videos from survivors and reading the French texts of the children of the Rwandan genocide were emotional. You don’t have to know French as many things have translations, but it is helpful in the areas that aren’t translated.",5 years ago,2024-12-27 21:27:34.633907,5.0,Robert Stevens,200,https://www.google.com/maps/contrib/105436198875448690044/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUMtM0luYmh3RRAB,"This important museum tells the story of the Jewish community in France and particularly in Paris, the deportation, the collaboration of the french regim , the police, the church but also the civilias in the ilimination of the jews in France. There were also those (small group of french non Jewish) roughly around 1,500 of angels who were willing to risk their lives for their fellow Jewish neighbours. They did not follow other antisemites who portrayed jews as bunch of monsters that should only find their bitter end in the infernos. Thank you so much for your bravory. Very sad, but those are the disputed facts!",2 years ago,2024-12-27 21:27:34.633907,5.0,gil sidis,12,https://www.google.com/maps/contrib/114277043110387187150/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURYNXYybnlRRRAB,A truly impressive memorial to the Jewish community in France centered on the 2nd world war period. In my opinion superior to the  Berlin Jewish museum.,2 months ago,2024-12-27 21:27:34.633907,4.0,Michael Coyle,154,https://www.google.com/maps/contrib/109218342337000263702/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURzOG95ZWdnRRAB,"We happened upon this place while walking around Paris on foot (I saw it on the map). It's a free Holocaust museum. The exterior is pretty interesting, with the star of David pattern. You have to go through mild security to enter, but I believe the whole museum is available free of charge. It's quite extensive inside. We didn't have a ton of time to spend, or we probably could have stayed longer. As it was, we were probably in there for a good two hours. There's tons of material inside, and all the written displays were in English as well as French. The video and audio presentations were only in French, as to be expected. I actually learned a lot about the impact of World War 2 in France. If you're happening by and have some time to read exhibits, I'd recommend it!",4 years ago,2024-12-27 21:27:34.634907,5.0,Shanan Z,104,https://www.google.com/maps/contrib/113776881892940812776/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURBek1yd0JnEAE,One of the places no person should miss visiting while being in Paris. I have spend several hours there. Went out as a different person.  Exhibition and custodians are exceptional.,6 years ago,2024-12-27 21:27:34.634907,5.0,Igor Marsenić,138,https://www.google.com/maps/contrib/100368231787371399698/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBLWNXX25BRRAB,Vert moving visit of course. And you'll also learn it started well before Hitler. High level of security but very welcoming and helpful staff.,7 years ago,2024-12-27 21:27:34.634907,5.0,Jean-Paul Audouy,234,https://www.google.com/maps/contrib/110573320363996413935/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ5aGVXcE9REAE,Great place to visit it to know a littler bit more of the history,9 months ago,2024-12-27 21:27:34.634907,5.0,PAC,28,https://www.google.com/maps/contrib/114183210028879902538/reviews?hl=en
