id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURINF96ZmJnEAE,"Small garden next to a big church Very clean, there’s a small play ground for children",4 months ago,2025-01-24 12:37:21.227620,5.0,MH Nguyen,122,https://www.google.com/maps/contrib/114518257268296747390/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNBd2ZqVGJ3EAE,"The playground for children is a little small and basic, but the carousel is an inexpensive treat :-)",7 years ago,2025-01-24 12:37:21.227620,3.0,Carlos Miranda Levy,98,https://www.google.com/maps/contrib/117198457070769240232/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNHX0tqT25BRRAB,"Always a pleasure to visit the garden, charity shops and small church",3 years ago,2025-01-24 12:37:21.228620,5.0,Jose O,43,https://www.google.com/maps/contrib/104566183531404901399/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURSM0xmdklBEAE,One of the quite place,a year ago,2025-01-24 12:37:21.228620,5.0,Lanz February,111,https://www.google.com/maps/contrib/112585718140945698801/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURXeHVxRzl3RRAB,Top,2 years ago,2025-01-24 12:37:21.229619,5.0,Tarek Keb,101,https://www.google.com/maps/contrib/101508685985117757926/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURMb0pYRzdBRRAB,"Pretty, quiet garden with trees, a small playground and a children's carousel 🎠 are integrated into it. This historic site includes buildings from the beginning of the 20th century, a chapel built in 1925 by the architect Chailleux and a garden, opened to the Parisian public in 1985. It is planted with chestnut trees, plane trees, yews, a cedar of the Himalayas and a blue Arizona cypress.",6 months ago,2025-01-24 12:37:21.229619,4.0,Laurent Padou,852,https://www.google.com/maps/contrib/102878442016850755868/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURWa1BTeUpnEAE,"The church is very beautiful, sober and refined. The decoration for Christmas 🎅 2023 with the different nativity scenes are absolutely worth seeing. THANKS …",a year ago,2025-01-24 12:37:21.230619,4.0,Lalla TRAORE,201,https://www.google.com/maps/contrib/115881342552814745391/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURBXy1tXzF3RRAB,"A public garden and the coolest carousel in the neighborhood! Open outside of usual hours with a sandpit and a small slide for the little ones. The ride is a neighborhood monument for its kindness and availability, we are far from the go-go traps...",6 years ago,2025-01-24 12:37:21.230619,4.0,Alban Noguès,186,https://www.google.com/maps/contrib/110202474606574034392/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQyMDQzeXdBRRAB,"In the heart of the 16th arrondissement, there is a magnificent social work, in a wooded park, with stores that sell clothes, crockery, books, for the benefit of young people in difficulty. At the bottom of the park, there is a restaurant where you can have lunch, served by hotel apprentices who offer a delicious menu",2 years ago,2025-01-24 12:37:21.231619,5.0,Maryvonne Gasse,2,https://www.google.com/maps/contrib/102668728077955729832/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNtaEpHbFVBEAE,I only know this garden during the beautiful Christmas market at the beginning of December.  It is then pleasant to wander through the pop-up shops.,3 years ago,2025-01-24 12:37:21.231619,3.0,Ludovic Dodrelle,"1,207",https://www.google.com/maps/contrib/114165188447539807960/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5bEtfSkRREAE,Pleasant little park with Stéphane's vintage carousel who is always very kind to the children. We always come back with pleasure,4 years ago,2025-01-24 12:37:21.232620,5.0,Guillaume Fauconnier,325,https://www.google.com/maps/contrib/110408329531855158057/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNwd29YWGdBRRAB,Pleasant little park.  Which deserves a little more maintenance.,a year ago,2025-01-24 12:37:21.232620,4.0,jean-yves Percheron,273,https://www.google.com/maps/contrib/100062332423128363711/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN0a0lTSldBEAE,Very beautiful church!! God bless you Amen!,11 months ago,2025-01-24 12:37:21.233621,5.0,Mélissa Sude,69,https://www.google.com/maps/contrib/106282596224399491945/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBcjZYTmZ3EAE,"Pleasant place to walk, there is also a nice carousel for children!",7 years ago,2025-01-24 12:37:21.233621,4.0,Nana B.,216,https://www.google.com/maps/contrib/106263386625137198227/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURvcnNHeXpBRRAB,"Very nice little park for children, there is even a carousel.",5 years ago,2025-01-24 12:37:21.234620,5.0,E et MD B,140,https://www.google.com/maps/contrib/103902593439300119818/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNZb3Q2V3lBRRAB,Thank you for this little garden. Nice next to the church and a carousel and games for children.,5 years ago,2025-01-24 12:37:21.234620,5.0,C P,157,https://www.google.com/maps/contrib/115244155382433469156/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR5X0tXNFB3EAE,"Very good, nice congratulations to the one who maintains lawns, flowerbeds and magnificent orchard",3 years ago,2025-01-24 12:37:21.234620,5.0,Daniel DR,0,https://www.google.com/maps/contrib/116814206631148068280/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMwZ1lUbWNBEAE,"The former property of a charitable organization, a wonderful foundation truly serving young people sometimes in difficulty.",2 years ago,2025-01-24 12:37:21.235620,5.0,Patrice DAUTEL,189,https://www.google.com/maps/contrib/106346938635745792758/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURnaHBlWGtnRRAB,Pleasant little park in front of the Sainte Thérèse Chapel and the dynamic Auteuil foundation which works for children in difficulty,7 years ago,2025-01-24 12:37:25.343919,4.0,Eric,97,https://www.google.com/maps/contrib/102670754936202949585/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNJN1lPaHBRRRAB,"Garden combining calm and lively during the holidays, several activities and things to discover, whether alone or accompanied 😉 …",6 years ago,2025-01-24 12:37:25.344925,5.0,ShibeGuyl,45,https://www.google.com/maps/contrib/101428294812639613251/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ2aXJUYTJRRRAB,The hero of the story Didier PINGAULT (CAEN) is very courageous and altruistic!,3 years ago,2025-01-24 12:37:25.344925,5.0,Getnet Asnake,31,https://www.google.com/maps/contrib/108915871730261682810/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ2OG83RVN3EAE,An unforgettable and smiling place. You have to participate in the Theresian festivals.,3 years ago,2025-01-24 12:37:25.345920,5.0,Sandra Rodrigues,122,https://www.google.com/maps/contrib/102703031822816904001/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQtdVkyOF9RRRAB,"Magical place, its second-hand clothing and book shops, its garden, its church",2 years ago,2025-01-24 12:37:25.346919,5.0,Débora,405,https://www.google.com/maps/contrib/116710544329697860902/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3b3NERE9nEAE,"Ideal place for lunch at midday. It's quiet, well maintained.",7 years ago,2025-01-24 12:37:25.346919,4.0,Karine Laraleuse,159,https://www.google.com/maps/contrib/114474052034084191573/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQyN0ptTm1BRRAB,"Plenty of space to enjoy the sun on the benches, when there is any.",2 years ago,2025-01-24 12:37:25.346919,5.0,Amor Bka,63,https://www.google.com/maps/contrib/100277889374713650596/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURXcy12WHpRRRAB,It’s beautiful but the best is the thrift store 😉 …,2 years ago,2025-01-24 12:37:25.347919,5.0,Gaëlle,0,https://www.google.com/maps/contrib/105044481984700936084/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBOG9XZV9nRRAB,To give and do charity work. They take almost everything provided it is in good condition,6 years ago,2025-01-24 12:37:25.347919,3.0,Bensoussan Jean Claude,261,https://www.google.com/maps/contrib/102677077419734677987/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ0LU43d1VBEAE,You have to remember for lunch. We find everything we need to reflect.,5 years ago,2025-01-24 12:37:25.348921,5.0,Marc Trousseau,85,https://www.google.com/maps/contrib/105155645424663349904/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRNFp2Z1V3EAE,At the moment the Auteuil Christmas market is very nice.,7 years ago,2025-01-24 12:37:29.470123,4.0,Jean-marc Giroud,92,https://www.google.com/maps/contrib/105526826036103196831/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNJcWQyTnhnRRAB,Parent house of Apprentis d'Auteuil. Foundation which survives in part thanks to donations. Think of all these young people in difficulty,6 years ago,2025-01-24 12:37:29.470123,1.0,daniel biney,9,https://www.google.com/maps/contrib/111079293721864081564/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURXOFBiWEJREAE,Interesting place and very beautiful chapel,2 years ago,2025-01-24 12:37:29.471124,4.0,Jean-julien Pascalet,267,https://www.google.com/maps/contrib/105342267775708890055/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURVOUtEUHJRRRAB,A magnificent garden for children and adults.,5 years ago,2025-01-24 12:37:29.471124,5.0,Игор Кау,503,https://www.google.com/maps/contrib/106936686460237439095/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3cjd2alRREAE,Quiet with a small carousel for children,6 years ago,2025-01-24 12:37:29.472125,4.0,ludovic Depin,16,https://www.google.com/maps/contrib/108407797822903558455/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxZ0pLeVNBEAE,Very nice for little ones,3 years ago,2025-01-24 12:37:29.472125,3.0,Philippe Courtet,481,https://www.google.com/maps/contrib/113718726589983360969/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURJb3M2WkRnEAE,Quiet and wooded place. Restful.,6 years ago,2025-01-24 12:37:29.473124,3.0,Bertrand Labes,22,https://www.google.com/maps/contrib/115075088210218092114/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNLay1Uc1FnEAE,very quiet garden,3 years ago,2025-01-24 12:37:29.473124,4.0,lesprit marie christine,1,https://www.google.com/maps/contrib/111711975910679802865/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNvMzhHTG9BRRAB,Very friendly and well mannered.,5 years ago,2025-01-24 12:37:29.474124,5.0,Dominique Cazalas,406,https://www.google.com/maps/contrib/101067432553041436339/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURtaGMzejB3RRAB,Pleasant place to visit,2 years ago,2025-01-24 12:37:29.474124,4.0,Gaelle Guinvarch,495,https://www.google.com/maps/contrib/102252899029449204793/reviews?hl=en
