id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURmdW9YazNnRRAB,Great for buying magnificent old books with an idyllic setting :),2 weeks ago,2025-01-24 12:03:57.007415,5.0,Iris Bourasseau,24,https://www.google.com/maps/contrib/106907044340636525187/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMzbTgyU0RnEAE,Super nice seller and very nice selection of books,2 months ago,2025-01-24 12:03:57.008415,5.0,Camille L,0,https://www.google.com/maps/contrib/101173837945807200042/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN4dWJTcHRnRRAB,"A great place in Paris where you get great deals! Philippe is passionate and takes the time to advise, discussions with him are very pleasant. We really find all types of books, for us it was Asian literature, history and great classics. We will come back!",a year ago,2025-01-24 12:03:57.009428,5.0,Julie Labbé,3,https://www.google.com/maps/contrib/106206374831152334474/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURlcDRHam5BRRAB,"Philippe is a charming man. He came to my house to conscientiously choose the books that interested him, mainly French and foreign literature. I wish him to continue for a long time in this wonderful profession of bookseller, a monument in its own right of Paris.",2 years ago,2025-01-24 12:03:57.010416,5.0,Catherine Joublin,0,https://www.google.com/maps/contrib/113871142543098094617/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN2aTd6WWtRRRAB,Excellent bookseller! I highly recommend 🙂 …,a month ago,2025-01-24 12:03:57.010416,5.0,Ana Sofía Marmo,2,https://www.google.com/maps/contrib/103521482898381750501/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMtZzVxLWRnEAE,"A very pleasant meeting with an enthusiast! And not just books but also cinema. And what cinema... The best, naturally. As for books, everything is there. The finest of arts and letters, and always in impeccable condition. That's what counts in a bookseller. Be careful, you will be dealing with a chatterbox. And that's a compliment! At a time when no one talks to their neighbor anymore, take advantage of it!",2 years ago,2025-01-24 12:03:57.011415,5.0,Matthieu Lévy-Hardy,13,https://www.google.com/maps/contrib/103164767118409334576/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURlamJybG5BRRAB,"Very friendly bookseller with a large selection of books in beautiful collections (Quarto Gallimard, Collection Banche, etc.) and at very reasonable prices (unlike many other bookstores). I highly and warmly recommend.",2 years ago,2025-01-24 12:03:57.011415,5.0,nicolas plantier,0,https://www.google.com/maps/contrib/114385930191173142579/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURxbkluY3NBRRAB,"I called on this bookstore when my family and I had to empty an apartment full of books. Unfortunately my family just wanted to throw them away, not finding anyone interested. Thanks to a friend I contacted Mr Legendre, who was immediately available and who was able to give a second life to all these books. We gave it to him with pleasure, if only so that this tradition of the quays continues... A big thank you to him, because knowing that these works did not end up in the dumpster makes me very happy.",3 years ago,2025-01-24 12:03:57.012415,5.0,Théodore BELLON,0,https://www.google.com/maps/contrib/100858900577662049182/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNxc2JfeHpRRRAB,"A true book lover! Cultivated, funny, friendly, his reconversion (former business executive) is a success, at least for Parisians, and foreign travelers, who have the good idea to stop in front of his colorful boxes to ""have a chat"" and buy him a few carefully chosen books.",3 years ago,2025-01-24 12:03:57.013417,5.0,Fabrice DEL TAGLIA,0,https://www.google.com/maps/contrib/102433337238694635420/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNXNU9xczVnRRAB,"Having left to find B Bettelheim and his Psychoanalysis of Fairy Tales, which unfortunately escaped me, I looked at Plato and Socrates.... A great job as a bookseller, which we have every interest in supporting, thank you to Philippe for this wonderful meeting, for his attentiveness, and the time he devotes to his customers. Last advice, always carry cash with you when you pass by these boxes, there is bound to be something that will attract you. See you soon",2 years ago,2025-01-24 12:03:57.013717,5.0,jf frizza,14,https://www.google.com/maps/contrib/102609582735132863074/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURlMVpiT09nEAE,Excellent choice of books! Very warm welcome from Philippe Legendre. Thank you for the conversation about Pierre Gripari whose books are rare.,2 years ago,2025-01-24 12:03:57.014234,5.0,La Bibliothèque de Raphaël,0,https://www.google.com/maps/contrib/102014110138432751743/reviews?hl=en
