id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUM3cHR1c1lnEAE,Wonderful place to visit and to walk!,5 months ago,2025-01-24 13:23:36.789645,5.0,Tom Sharony,22,https://www.google.com/maps/contrib/114853765822153990659/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURJd2JhRWVnEAE,"One of the best parks of Rive Gauche in my opinion. Several different age appropriate play areas along with a huge sandbox and numerous hopscotches and other games painted on the ground. Its a huge area with beautiful flowers in the spring and like a small forest in the city that is perfect for kids to explore in. Unlike the more pictoresque parks in Paris- this one is great because its not so heavily regulate so the kids can run around, sit on the grass, etc without being told its ""interdit""! And the best part is the great little snack bar with an extensive menu- all responably priced with seating. The only negative is the swings that aren't free, but free swings seem to be a rarity in this city!",6 years ago,2025-01-24 13:23:36.790645,5.0,Morgan Walesh,120,https://www.google.com/maps/contrib/115476229335279170174/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNnal91RkhBEAE,"Very nice place for children. As a park it is not that impressive, given how many beautiful parks are there in Paris. But if you want to see your little one having a good time you can come here. Of course if you live nearby. It is not that special that you have to come from far away.",6 years ago,2025-01-24 13:23:36.791645,5.0,Shubhadeep Roychowdhury,230,https://www.google.com/maps/contrib/114266057862798365142/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNqb3BDRF9BRRAB,Dogs ARE permitted but their access is exclusively via rue Emile Deslandres and they are permitted in the upper part of the garden ONLY (dogs kept on a leash),9 months ago,2025-01-24 13:23:36.792644,4.0,Annick Benavides,9,https://www.google.com/maps/contrib/100206124423110504658/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNRaWR2dDF3RRAB,"Perfect place for children in Paris. There are sand boxes and multiple slides and other entertainment for children. There are lots of comfortable bench to sit on, and the plants are neatly trimmed and maintained. The place is clean and well-designed.",7 years ago,2025-01-24 13:23:36.792644,5.0,Daniel Judah,603,https://www.google.com/maps/contrib/113463946697790816422/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURBc3M3Yk5nEAE,"This locals hangout features large children playground with sand space, and some crazy spinning items, outdoor café and gym, toilets, rose garden, bush, artificial stream and picnic area with high trees for rare heats in Paris. Cool place.",7 years ago,2025-01-24 13:23:36.793645,3.0,Vela Vela,77,https://www.google.com/maps/contrib/112865067520989277784/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN3NXBpZjVRRRAB,It's a cute park to catch a breath of fresh air and let the kids run amock!,7 years ago,2025-01-24 13:23:36.794645,3.0,Vinayak Rajesekhar,253,https://www.google.com/maps/contrib/116096538160166727969/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURBdk9pOUVnEAE,Nice playground for kids and a lovely rose garden....,8 years ago,2025-01-24 13:23:36.794645,4.0,Roger Van Unen,327,https://www.google.com/maps/contrib/109984741094039234638/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURnX2VYTnhRRRAB,Great park in 13e arrondissement to enjoy summer time,7 years ago,2025-01-24 13:23:36.795646,5.0,Cyril,214,https://www.google.com/maps/contrib/102831221779243680503/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNndTlIbWlBRRAB,This place is perfect for anyone to go to especially for kids.,6 years ago,2025-01-24 13:23:36.795646,5.0,Frankie Lion,0,https://www.google.com/maps/contrib/102368648707174736498/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNvLS1DTkZBEAE,"Very big park of the 17th century, with a big forest, and a small playground with sports and seesaws.  On the left of this area, there is a food stop.  There are police guards around the park.  People also come playing badminton in the park.  Enjoy having a good time over there!",5 years ago,2025-01-24 13:23:36.796646,5.0,Thomas Champion,2,https://www.google.com/maps/contrib/102901508489215555934/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBeWF1MzF3RRAB,Nice large park for the kids,8 years ago,2025-01-24 13:23:36.796646,4.0,Phil DeMello,786,https://www.google.com/maps/contrib/115416085552935762442/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN3b3VIVHVnRRAB,Great place to relax and take a stroll,8 years ago,2025-01-24 13:23:36.797645,4.0,Kat Shoolman,148,https://www.google.com/maps/contrib/110095819912706520207/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUROcnV1aUtREAE,Unique,a year ago,2025-01-24 13:23:36.797645,5.0,Pascal L,4,https://www.google.com/maps/contrib/115355667284613482344/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3NXVheUpBEAE,"Nice, calm park",7 years ago,2025-01-24 13:23:36.797645,4.0,Ignazio Mottola,214,https://www.google.com/maps/contrib/109219652469332876615/reviews?hl=en
