id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUMzZ0lLYWtnRRAB,"A lovely square - garden area, with plenty of seating, for a well deserved rest, the Fontaine Dejean is its centre piece, during our visit there was a flea-market in full swing.",3 months ago,2025-02-09 14:57:25.128023,5.0,V H,"1,066",https://www.google.com/maps/contrib/116525100818724963755/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURVb1k3S2tRRRAB,"Busy.. and a bit noisy ....plus, there's Tramway construction EVERYWHERE...so use the underground pedestrian passage and double-check your bus stops...everything is in constant flux.",5 years ago,2025-02-09 14:57:25.129023,5.0,STEVE MOTOCRAYZ,564,https://www.google.com/maps/contrib/116719470431626085732/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNiOElEaXlRRRAB,"Small tree-lined square located in a fairly noisy environment. The square at Place Pasdeloup is located along Boulevard des Filles du Calvaire, opposite the Cirque d’Hiver. It is composed of a large central avenue lined with plane trees. At its center is an elegant stone fountain erected in 1906, topped with a statue of a swan grooming itself.",6 months ago,2025-02-09 14:57:25.130024,4.0,Laurent Padou,851,https://www.google.com/maps/contrib/102878442016850755868/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMyc2Z5ZHZRRRAB,"This square doesn't have many benches to sit on and half of them are occupied by homeless people, which doesn't make you want to come back.",2 years ago,2025-02-09 14:57:25.130024,3.0,Catherine ROY,334,https://www.google.com/maps/contrib/106216669748523868259/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURjdjlMaGR3EAE,"Located in a very quiet area, this square, which faces the Bouglione winter cirque, is unfortunately not very busy.",4 years ago,2025-02-09 14:57:25.131024,2.0,Catherine Roy,"1,118",https://www.google.com/maps/contrib/102861833523195426153/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUN4MC1xUjJnRRAB,"No, they removed the ping pong table even though it was one of the only ones available 24 hours a day.",a year ago,2025-02-09 14:57:25.131024,1.0,Melanie Trino,6,https://www.google.com/maps/contrib/113707339604088822968/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURrdTdTcnBRRRAB,"Bad encounters, place not very well attended",5 years ago,2025-02-09 14:57:25.131024,1.0,Eloïse Roffi,21,https://www.google.com/maps/contrib/117058191926262792039/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUR3LXBEM1FBEAE,Nice and quiet for a city center,6 years ago,2025-02-09 14:57:25.132023,4.0,KHALED ALI,208,https://www.google.com/maps/contrib/106166224994683829122/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNCaVo2RzV3RRAB,It's magnificent,2 years ago,2025-02-09 14:57:25.132023,5.0,Roys Tom,0,https://www.google.com/maps/contrib/102700366645115173381/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR3bU95VHZBRRAB,Pleasant and relaxing,6 years ago,2025-02-09 14:57:25.133026,4.0,Olivier Alibert,229,https://www.google.com/maps/contrib/101264337420345584718/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURIa18yaVp3EAE,,4 months ago,2025-02-09 14:57:25.133026,4.0,Abdoulaye Diabira,4,https://www.google.com/maps/contrib/104731954827164564325/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR0N2NqSXlBRRAB,,a year ago,2025-02-09 14:57:25.134024,3.0,Emilien GAUME,13,https://www.google.com/maps/contrib/106685188317523334429/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNwNnNxb1NREAE,,a year ago,2025-02-09 14:57:25.134024,5.0,traceur djouss,38,https://www.google.com/maps/contrib/116086063578318868863/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURPNXFiQjNnRRAB,,2 years ago,2025-02-09 14:57:25.134024,5.0,Axel Augé,10,https://www.google.com/maps/contrib/112949722928300379954/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNtbmZUbXVnRRAB,,3 years ago,2025-02-09 14:57:25.135024,5.0,Salimata Bassave,0,https://www.google.com/maps/contrib/103603968555669115692/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMwc3JYTjJ3RRAB,,5 years ago,2025-02-09 14:57:25.135024,5.0,Егор Брызгалов,335,https://www.google.com/maps/contrib/113729133847610818428/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNvajczTzR3RRAB,,5 years ago,2025-02-09 14:57:25.136024,3.0,Pauline pandette,0,https://www.google.com/maps/contrib/117043902143193740130/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR3MmVtZGVREAE,,6 years ago,2025-02-09 14:57:25.136024,2.0,Olivier Junior,43,https://www.google.com/maps/contrib/103377399364531455143/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRcElPSlh3EAE,,7 years ago,2025-02-09 14:57:29.219975,2.0,J K,658,https://www.google.com/maps/contrib/104406139880101926579/reviews?hl=en
