id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNmbk9hVEpBEAE,"Great building to visit, one of the most known and old universities all over the world",a day ago,2024-12-28 17:16:33.385171,5.0,Dio Brando,132,https://www.google.com/maps/contrib/108107675912014473338/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQwOEttdDNBRRAB,"A magnificent building housing the famous Sorbonne University.. . .Truly a Price of architecture. . . It is well worth a visit. It is located in the beautiful Latin Quarter of Paris, which is most excellent and of a different air all together. The surrounding establishments are all very much related to the institution and other campuses of the University of Paris, nearby.  You can also find a few restaurants Nearbuy with great food and coffee. . .  It is an institution of Arts and Humanities.  Spectacular place",5 years ago,2024-12-28 17:16:33.386171,5.0,Pulkit Chhabra,34,https://www.google.com/maps/contrib/115856311846771745256/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURvOTRyemJBEAE,"The famous Sorbonne University is not really impressive for tourists, but it is definitely a beautiful building, worth seeing if you're around. It is located in the Latin Quarter of Paris, which is peaceful and full of history. Quite close to the university you can find the Panthéon, so it is worth seeing if you are planning to visit the Panthéon.",5 years ago,2024-12-28 17:16:33.386171,4.0,Alex Damacus,56,https://www.google.com/maps/contrib/109962296757403903028/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQ3eS1Mb3BBRRAB,One of the best universities in the world offering quality education.,4 months ago,2024-12-28 17:16:33.386171,5.0,Malta Valetta,0,https://www.google.com/maps/contrib/117556931085694884481/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNpeXRTSzlRRRAB,"Beautiful real-estate but the level of maintenance of the facilities inside (the basic classrooms) is not good. Hopefully the state will someday refurbish the overall property and bring its specs to the highest standard, as it would be deserved for a university of such rank.",4 years ago,2024-12-28 17:16:33.386171,3.0,Florent Benon,333,https://www.google.com/maps/contrib/110633407040266315293/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN3bExmSUN3EAE,my favourite part of the campus has always been the astronomy clock tower,7 years ago,2024-12-28 17:16:33.387171,5.0,tara ntula,282,https://www.google.com/maps/contrib/101634072349207032014/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURreGFhUWt3RRAB,"A magnificent building housing the famous Sorbonne University.  It is well worth a visit. It is set in the beautiful Latin Quarter of Paris, which is most excellent and of a different air all together.  The surrounding establishments ate all very much related to the institution and other campuses of the University of Paris, nearby.  As an academic, I had hope to visit a few departments, in Philosophy and Theology,  but, this was not possible at the time, due to Summer holiday. I could not get any other information.  Wonderful place.",5 years ago,2024-12-28 17:16:33.387171,5.0,Russell Ramananda Ramesvara Maharaj,329,https://www.google.com/maps/contrib/107538271888921479764/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNnM3B5OV9BRRAB,"Located in one of the most picturesque neighborhood, this University and the nearby attractions, are a beautiful place to visit. With narrow streets full of small cafes and restaurants, its a perfect place to get lost and enjoy the youth Paris. The architecture of the area its marvelous and its so well maintain but if you want to enjoy the inside of the university you have to prebook a tour (or walk in but try not to be such a tourist). Still, a nice place to be based.",8 years ago,2024-12-28 17:16:33.388171,5.0,Yi Jian,226,https://www.google.com/maps/contrib/107720693328277357629/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURRLV9fMFRnEAE,"The famous university in Paris, located at the Latin Quarter of the city. It has some really nice gems - including the observatory and the unique architecture. The lively atmosphere is also a great factor. However there are so much things to see in Paris, so it is nice to visit if you are around, but would not make an effort to visit",7 years ago,2024-12-28 17:16:33.388171,3.0,Yossi Twizer,449,https://www.google.com/maps/contrib/118128477694224497498/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMyeHVHeTRRRRAB,"Short visit in the Sorbonne building... Wonderful place! However, the access is limited to Sorbonne members (i.e. students and faculty) excluding some guided visits on Wednesday morning.",2 years ago,2024-12-28 17:16:33.388171,4.0,Riccardo Turati,148,https://www.google.com/maps/contrib/101555344862397491730/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3bmJQZ1RBEAE,"One of the oldest universities in Europe with a lot of history! Great place to walk around and learn about one of the places that produced the western world's foremost thinkers in the ""sciences"" and the ""letters"".",8 years ago,2024-12-28 17:16:33.388171,3.0,Nafez Dakkak,505,https://www.google.com/maps/contrib/112619898930704686877/reviews?hl=en
