id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURyaFpfa1FREAE,Architecture masters piece,5 months ago,2024-12-27 20:21:00.182975,4.0,Hardi Taimur,625,https://www.google.com/maps/contrib/105556152089061545311/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNGMmFmT1NBEAE,"This is one of the nicest church in Paris, out of the tourist hotspots. Highly recommend",a year ago,2024-12-27 20:21:00.182975,5.0,Dunstan R. Alexander,27,https://www.google.com/maps/contrib/109973537117223692284/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURxM3Y2U2VBEAE,Beautiful so glad they finally finished the works,3 years ago,2024-12-27 20:21:00.182975,5.0,M in Paris,357,https://www.google.com/maps/contrib/101319844509546704355/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURWdE1ELWhRRRAB,"Beautiful church at the end of the 19th century but inspired by the Romanesque style. It is bright, airy and prayerful. The furniture is beautiful and functional. Its facade enhances the neighborhood by giving it a little provincial town feel. I recommend his visit",a year ago,2024-12-27 20:21:00.183975,5.0,D L,362,https://www.google.com/maps/contrib/106346985716899828948/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUROdmMzc3hnRRAB,Very pretty Catholic church Neo-Roman architecture. In 1867. Located in Paris 11,10 months ago,2024-12-27 20:21:00.183975,5.0,marie-rose atchama,304,https://www.google.com/maps/contrib/116328316474233119650/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNDeWFHN2VnEAE,"Very beautiful church despite the scaffolding which distorts it. In addition, the interior is very calm and relaxing. To visit.",4 years ago,2024-12-27 20:21:00.183975,5.0,Catherine Roy,"1,110",https://www.google.com/maps/contrib/102861833523195426153/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURwcS1LWmJnEAE,A very beautiful church. To visit,a year ago,2024-12-27 20:21:00.183975,5.0,Stephane ThaiChang,886,https://www.google.com/maps/contrib/105540704379332945273/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURqODQ2c013EAE,"I came to this church a long time ago, in fact I didn't know its name at the time and I really wanted to have the opportunity to go back and then I came across it on Google and it made me such a pleasure to be able to have the opportunity to return there again, that's what I plan to do soon and this church is so pleasant, it's beautiful, very relaxing, I would even say that it is very spiritual and very divine we feel the presence of God and all beings of light frankly I recommend be blessed",7 months ago,2024-12-27 20:21:00.184975,5.0,Amokrane Slimane,0,https://www.google.com/maps/contrib/105825206405988310559/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURRZ3NXd1NnEAE,"The church is built on the plans of the architect Théodore Ballu between 1874 and 1897. The style refers mainly to Roman art with, however, a touch of Renaissance. To visit with complete peace of mind.",6 years ago,2024-12-27 20:21:00.184975,4.0,Jean-Luc HINDRYCKX,910,https://www.google.com/maps/contrib/108465731863581194231/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNUNjd6Um5nRRAB,"19th century church of large dimensions, built on the principle of the first Gothic churches. The transept forms a cross with the main aisle. On each side a triforium. Finally, great elevation of the central nave. We were there for a funeral and despite the size of the church, an intelligent and open priest knew how to make the blessing intimate",7 months ago,2024-12-27 20:21:00.187976,4.0,christine Freeland,48,https://www.google.com/maps/contrib/103595970391205911783/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNHbWZtWnNRRRAB,Magnificent renovation of this church after several months/years of work. It brings a certain light to the neighborhood. Possibility of paying for offerings by card in the church.,3 years ago,2024-12-27 20:21:00.187976,5.0,thomas fall,22,https://www.google.com/maps/contrib/110311819346992614177/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURUc1BmX1BREAE,Very beautiful and welcoming.  There we find calm conducive to prayer and meditation.,6 months ago,2024-12-27 20:21:00.188976,5.0,Anne Victoroff,231,https://www.google.com/maps/contrib/115811868516285091330/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUM0NElQVHJ3RRAB,Incredibly nice Catholic church. Glad I went here to see it.,5 years ago,2024-12-27 20:21:00.188976,5.0,Dave Huntington,132,https://www.google.com/maps/contrib/116893597703619784550/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNwMFBpOFZBEAE,"Church that you can pass by without really noticing it. The highlight is as soon as you get home. I found it prayerful, calm and oxygenating. I took some time there. I don't know what St Joseph was like, certainly like this Church, discreet and powerful.",a year ago,2024-12-27 20:21:00.188976,5.0,Pitchoune Nze,12,https://www.google.com/maps/contrib/101050502061701936304/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBLTZIc2l3RRAB,I believe in Almighty God. Amen🕯🕯🙏🙏♥️♥️ …,5 years ago,2024-12-27 20:21:00.188976,5.0,Christine Venet,118,https://www.google.com/maps/contrib/110647002964612243428/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMtbE1QMU5BEAE,"An absolutely magnificent place, a pure marvel! A team of attentive priests provides daily care for young people who are unhappy on the street.  Well done to everyone.  Well done Fathers. 🙏🏻💙 …",2 years ago,2024-12-27 20:21:00.189976,5.0,Bridget Tone,67,https://www.google.com/maps/contrib/111286611393555546888/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNzamFEYXZ3RRAB,"Despite a facade under construction, the parish team is still very welcoming and smiling. Beautiful parish and musical events take place there. The parish does not lack life. Well done.",4 years ago,2024-12-27 20:21:00.189976,4.0,Arnaud LEGER,144,https://www.google.com/maps/contrib/100326279833997633528/reviews?hl=en
