id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUQ5ejhTRnh3RRAB,Mama,10 months ago,2025-01-24 12:12:34.864932,5.0,Dechu_gm,0,https://www.google.com/maps/contrib/113217487744026636404/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR3ME5PQnNBRRAB,👍👍👍👍👍👍👍👍 …,6 years ago,2025-01-24 12:12:34.864932,4.0,Mohammad Mohsin,90,https://www.google.com/maps/contrib/108003272430524070316/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURYbjlQLXRRRRAB,Beautiful little church.,2 months ago,2025-01-24 12:12:34.865932,5.0,Guy,1,https://www.google.com/maps/contrib/110232709775704876640/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNpenN1Vm1RRRAB,Thank you for the mass for the deceased on November 2. My mother died in March and the fact of mentioning the names of the deceased of which she is a part on her birthday moved me enormously!!! Thank you for this magnificent mass sincerely,4 years ago,2025-01-24 12:12:34.865932,5.0,Sandrine Perez,0,https://www.google.com/maps/contrib/113427999790757715002/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURVbXM2azR3RRAB,If the priest has changed I think it should be better noted I have a very bad memory on the day of a funeral of 2 young people the priest broke us down by talking to us about the world and its problems and nothing about our young people died in a road accident,5 years ago,2025-01-24 12:12:34.866933,1.0,Fabienne DENIS,46,https://www.google.com/maps/contrib/114490585373666939720/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNqdXBIRFh3EAE,The Princy beautician is very professional at advise,9 months ago,2025-01-24 12:12:34.867933,5.0,Sheeba Jeyakumar,0,https://www.google.com/maps/contrib/116512722354460628214/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNhN3FpdENREAE,"A super pretty place and the people are very friendly and smile. The music is very beautiful and the ladies and gentlemen who welcome us are always very sweet, clean and correct.  This one of my favorite places",3 years ago,2025-01-24 12:12:34.867933,5.0,Lucianne Mellior,0,https://www.google.com/maps/contrib/115721638881497162969/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNzM1lPaldnEAE,Very beautiful church. Magnificent stained glass windows. It’s a shame that the Louis XV organ has not yet been restored.,4 years ago,2025-01-24 12:12:34.868932,5.0,Jules Ragueneau,125,https://www.google.com/maps/contrib/101851326026955170397/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUMtbjltQzNnRRAB,Invites you to frequent it especially on Saturdays from 8:30 a.m. if you have big problems. You will be satisfied,2 years ago,2025-01-24 12:12:34.869934,5.0,Claudie Koudogbo,49,https://www.google.com/maps/contrib/115775926749604060264/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQwOUotZ3l3RRAB,"It's so simple, it's a place of worship and I really love that, it makes me even stronger...",5 years ago,2025-01-24 12:12:34.869934,5.0,joseph dieme,81,https://www.google.com/maps/contrib/110688650438327530662/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURNcmFQcHlBRRAB,It's the town church with a very beautiful nativity scene this year. Well done to the church team,5 years ago,2025-01-24 12:12:34.870938,1.0,la moure dans décathlon,77,https://www.google.com/maps/contrib/114177768639301926315/reviews?hl=en
