id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNIX3NPVU1nEAE,"Nice place for Silhouette festival, movie and music, good view for sunset",4 months ago,2025-01-24 13:54:58.476303,5.0,Katia Passarini,228,https://www.google.com/maps/contrib/111704338973055526192/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQ5bkxudDd3RRAB,This part of 19em can be enjoyed nicely with kids picnic and birthday program now beautiful lake it is very nice .,10 months ago,2025-01-24 13:54:58.476303,4.0,kaniz fatima,145,https://www.google.com/maps/contrib/110770953945113908861/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURhMzVYYldREAE,Really nice place with a beautiful garden with themes like “fairy tales”. No view on Paris but on the near suburbs. Impressive fountain.,3 years ago,2025-01-24 13:54:58.477303,4.0,Jean-Paul Audouy,236,https://www.google.com/maps/contrib/110573320363996413935/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNucXFyYXR3RRAB,"""**Parc de la Butte-du-Chapeau-Rouge** is a hidden gem in Paris! Nestled away from the touristy spots, this park offers breathtaking views of the city from its elevated position. It's a peaceful, well-maintained space, perfect for a quiet stroll or relaxing with a book. The greenery is lush, and there are plenty of benches to sit and take in the surroundings. There’s also a lovely play area for kids, making it great for families. Whether you're looking to escape the hustle and bustle or enjoy a scenic picnic, this park has something for everyone. Highly recommended for nature lovers and anyone wanting a serene break in the city!""",3 months ago,2025-01-24 13:54:58.478303,5.0,Dhruval Savaliya,153,https://www.google.com/maps/contrib/111368805453268132802/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNnOWNtcEN3EAE,"Pretty, quiet and not as crowded as other, more popular parks in town. It's located on a hill, so some spots offer a nice view on the city.",6 years ago,2025-01-24 13:54:58.478303,5.0,Florine R. K.,50,https://www.google.com/maps/contrib/113391390285905999118/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNibk9YN0t3EAE,"Clean, calm place to stay around. Generally not many people so it’s really nice for someone looking at alternative of parc Buttes Chaumont. No working toilet though.",5 months ago,2025-01-24 13:54:58.479303,4.0,Yuli Yulyani,1,https://www.google.com/maps/contrib/112154731197936905231/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURnazVqMS1nRRAB,"Cute little park! With a lovely view, It's very hilly. I would of liked it to be bigger with less roads around because it would be more peaceful and calm.",7 years ago,2025-01-24 13:54:58.480303,4.0,Catherine Lloyd,12,https://www.google.com/maps/contrib/105549401859711303036/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNJZ2Z5UTNRRRAB,Discovered a hidden gem.  It’s a beautiful park with beautiful foliage.  It’s kept very clean. The best part is that it’s not at all crowed and I hope it stays that way.,6 years ago,2025-01-24 13:54:58.480303,5.0,S H,85,https://www.google.com/maps/contrib/114329587034847268153/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR6cHNQS3JBRRAB,Beautiful park!,7 months ago,2025-01-24 13:54:58.481304,5.0,Lucky 13,100,https://www.google.com/maps/contrib/116054403282782142182/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNhdDlpZWJnEAE,The most clean toilet of all the parcs,3 years ago,2025-01-24 13:54:58.481304,4.0,Andres. S. Porras. C.,7,https://www.google.com/maps/contrib/109411145371563424490/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQzaEktcHlBRRAB,Best park to visit in Paris Free entry,2 months ago,2025-01-24 13:54:58.482308,5.0,Noman Ashraf,23,https://www.google.com/maps/contrib/116821046119652771192/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNhdzUycnF3RRAB,natural beauty❤️ It was Awesome Moment❤️✌️,3 years ago,2025-01-24 13:54:58.482308,5.0,Amrul Islam,42,https://www.google.com/maps/contrib/117555401844168788158/reviews?hl=en
