id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUMzdU9yMzhnRRAB,"located in the 5th arr, is this very small haven of tranquility, perfect for a short rest.",3 months ago,2025-02-09 14:56:52.222558,5.0,V H,"1,066",https://www.google.com/maps/contrib/116525100818724963755/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURBeXJmdlpREAE,A quiet haven on a side street just off the river Seine. Perfect!,7 years ago,2025-02-09 14:56:52.223559,5.0,Aaron Pfaff,212,https://www.google.com/maps/contrib/112105762111633837290/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURVaG9XREN3EAE,Small haven of peace in the middle of a small street away from the hustle and bustle of this very lively tourist district. This park was renamed Danielle Mitterrand Park.,5 years ago,2025-02-09 14:56:52.223559,5.0,Laurent Delobelle,351,https://www.google.com/maps/contrib/112432037083464686314/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNBNWZmTjNRRRAB,"Very small green space, very quiet, in a very beautiful area of ​​Paris, perfect to accompany a good read",7 years ago,2025-02-09 14:56:52.224559,3.0,Yola Lichtensztejn,247,https://www.google.com/maps/contrib/116094495779958882357/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUN4cDRidDlBRRAB,"A small park in the concrete jungle. Lots of benches, water tap Go eat a sandwich, hide from the sun or just sit Places like this define a city, in my opinion.",a year ago,2025-02-09 14:56:52.224559,4.0,Taimuraz,318,https://www.google.com/maps/contrib/105681370483906175921/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURZcTgyZEF3EAE,There are many benches. A small park surrounded by the walls of an apartment building. Various flowers are blooming here and there. Apparently there is a place somewhere that used to be former President Mitterrand's house.,4 years ago,2025-02-09 14:56:52.225559,5.0,Chiho Iwase,119,https://www.google.com/maps/contrib/115387563275256516363/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNLcUotbDV3RRAB,"Adorable little square, intimate like a garden behind a pavilion. Exceptional tranquility with magnificent and well-maintained plants and trees, not forgetting the water fountain. For a quiet lunch break it's perfect!",3 years ago,2025-02-09 14:56:52.225559,5.0,Sophia Bounouri,0,https://www.google.com/maps/contrib/118075811768266351084/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURrcTV6SjNBRRAB,"This square located in rue de Bièvre is very long and almost invisible from the street. It is very small and very close to the houses that border it. However, we are very happy to find it when we walk around the neighborhood.",5 years ago,2025-02-09 14:56:52.226559,4.0,Catherine Roy,"1,118",https://www.google.com/maps/contrib/102861833523195426153/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUM2NDhLNWh3RRAB,"Very small, but surrounded by charming houses, very quiet, in rue de Bièvre",3 years ago,2025-02-09 14:56:52.226559,4.0,Ruchla,193,https://www.google.com/maps/contrib/105876717368644080917/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURhemFYMC1BRRAB,Small square to seek a little tranquility water fountain in working order benches and trash cans for waste pleasant for picnic,3 years ago,2025-02-09 14:56:52.227559,3.0,carnet michel,22,https://www.google.com/maps/contrib/102206554231569034487/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxMF9fWkhREAE,"Small, cute, quiet park with lots of benches in a nice neighborhood",3 years ago,2025-02-09 14:56:52.227559,4.0,Louise Ja,0,https://www.google.com/maps/contrib/111288442183605764292/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMcHVtYVBREAE,Great little hidden place,7 months ago,2025-02-09 14:56:52.227559,5.0,Alex La street,31,https://www.google.com/maps/contrib/116238325630168516507/reviews?hl=en
