id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURiME5DVVRBEAE,Very good environment and neighbors,4 months ago,2024-12-28 17:16:00.592881,5.0,Zexun Wang (Zeze),0,https://www.google.com/maps/contrib/117875446878167231666/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURreGZib3hnRRAB,"Part of the University of Paris  and the present  Sorbonne University  consortium.  An old and established institution, with many strengths in the physical and bio-medical sciences, computing, amongst others. Wonderful  historic building and a marvel of Parisian architecture in the Latin Quarter,  where other establishments of Sorbonne University exists.",5 years ago,2024-12-28 17:16:00.592881,5.0,Russell Ramananda Ramesvara Maharaj,329,https://www.google.com/maps/contrib/107538271888921479764/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNvX3ZQa3JRRRAB,"This is a French public research university established in 1971.It focuses in the areas of medical sciences,biomedical sciences,law,computer sciences,economics and psychology.Is located in the buildings of the 18th Century Academie et College de Chirurgie and of the 19th Century Ecole de Sante of the French capital.There are also inside a museum and a library,both relative to medicine.",5 years ago,2024-12-28 17:16:00.593882,5.0,Zoran Lutovac,121,https://www.google.com/maps/contrib/103038301207814559607/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR3b08tazVRRRAB,"Université Paris 5 René Descartes, also known as Paris V, is a French public research university located in Paris. It is one of the inheritors of the University of Paris (often referred as the Sorbonne), which ceased to exist in 1970. It is a member of the Sorbonne Paris Cité University (USPC) group. It was established as a mutidisciplinary university ""of humanities and health sciences"" (""des Sciences de l’Homme et de la Santé"". It focuses in the areas of medical sciences, biomedical sciences, law, computer science, economics and psychology. Its main campus is in the historic École de Chirurgie in the 6th arrondissement of Paris.",6 years ago,2024-12-28 17:16:00.593882,5.0,Edward,"1,627",https://www.google.com/maps/contrib/117088487949573398219/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN3bnRla3RnRRAB,Love university of paris POøNiRsHÅ barbie ujoodha Post exam tops Intelligence intelligent in the mind and every where in the world Prince of wales Mauritius united me muahxxx👏✌💞🌏👉🌌❤❤❤😘😘😘😘😘😘😘😘😘😘👉👍 …,8 years ago,2024-12-28 17:16:00.593882,5.0,poonirsha lopez stylish-beauty (your hëärt),59,https://www.google.com/maps/contrib/105367208086874184392/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQwNU5hc3lnRRAB,"The University is very good levels, studies ...",5 years ago,2024-12-28 17:16:00.593882,5.0,Chloe Morrison,0,https://www.google.com/maps/contrib/111532599067095541123/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURBNDd1VFJREAE,One of the best university in Paris,7 years ago,2024-12-28 17:16:00.594882,5.0,Tubagus Muhamad Iqbal,497,https://www.google.com/maps/contrib/111137514883350603789/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNReGJMNjZRRRAB,Great university :),8 years ago,2024-12-28 17:16:00.594882,5.0,Tuan Thanh Nguyen,211,https://www.google.com/maps/contrib/100745500536230771639/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNlenZpYUpnEAE,Nice university,2 years ago,2024-12-28 17:16:00.594882,5.0,Lefteris Magkoutas,154,https://www.google.com/maps/contrib/116079229255507068384/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURncGNQOC1nRRAB,Great !!,7 years ago,2024-12-28 17:16:00.594882,4.0,Armaan SanFran.,0,https://www.google.com/maps/contrib/101002775445576094072/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBNk1Ld1RnEAE,Nice,9 years ago,2024-12-28 17:16:00.595882,4.0,Filipe Fernandes Miranda,161,https://www.google.com/maps/contrib/112607674973059654405/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURVczY2OGp3RRAB,Well,5 years ago,2024-12-28 17:16:00.595882,5.0,Rebaz T,50,https://www.google.com/maps/contrib/116051789941896285567/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBZ2IyYVVREAE,No,8 years ago,2024-12-28 17:16:00.595882,5.0,Fatououmar Barry,0,https://www.google.com/maps/contrib/103694257078200159933/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN3bl92ZTZRRRAB,Nice,11 years ago,2024-12-28 17:16:00.595882,5.0,ALEXANDER PRIME,0,https://www.google.com/maps/contrib/106655936692269002811/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNWLUlxdFdnEAE,One of the most beautiful university sites in Paris. A must for studying medical sciences.,a year ago,2024-12-28 17:16:00.595882,5.0,Cyrille Grandclément,36,https://www.google.com/maps/contrib/117147865959568127456/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNOeUtUdG5nRRAB,"Good morning,  not super responsive Contact Center we call them and we come across an automated message which informs us that there is no point in calling them then we contact them via the website form and we expect clear, fair and appropriate answers  Sincerely",11 months ago,2024-12-28 17:16:00.596882,3.0,F T,355,https://www.google.com/maps/contrib/116512422535672692986/reviews?hl=en
