id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURybHREclJBEAE,"Great space, intimate and quiet when you want to rest or zone out.",5 months ago,2024-12-28 17:07:53.088907,5.0,Vidya Amin,167,https://www.google.com/maps/contrib/117979882363432619125/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN6ekxDME9BEAE,"Lovely park for the kids.  Note it does not open until 8 am, which is important for the jet lagged.",6 months ago,2024-12-28 17:07:53.089907,5.0,Charles Hu,80,https://www.google.com/maps/contrib/100079544825580489934/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ0ME5DdkR3EAE,"A hidden gem of quiet in the city. A great place to find a bench and munch on a baguette (purchased elsewhere). Beware of the birds, they are particularly assertive if you have food.",5 years ago,2024-12-28 17:07:53.089907,5.0,Samantha Chande,123,https://www.google.com/maps/contrib/105639848680728986839/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNqaDZ6cmNnEAE,Lovely place with lots of sunshine in the morning hours. Well maintained and clean.,8 months ago,2024-12-28 17:07:53.089907,5.0,Arin Schamo,60,https://www.google.com/maps/contrib/111993670479760630365/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURDa0pXZG93RRAB,"It's nice for young aged children if you can keep an eye on them. Depending on the hour this place can be badly attended. Not nearly as good as other parcs in the area. No big lawns, no restrooms.",4 years ago,2024-12-28 17:07:53.089907,3.0,helory GRENADE,13,https://www.google.com/maps/contrib/102522465005657739838/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURIdTlta0N3EAE,Small beautiful park.,3 months ago,2024-12-28 17:07:53.090907,5.0,Neer Lazar,820,https://www.google.com/maps/contrib/109224900210110201687/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURXdGFISGZ3EAE,Nice little park in Saint Augustin area.,2 years ago,2024-12-28 17:07:53.090907,4.0,darius savolskis,609,https://www.google.com/maps/contrib/100186236821434972291/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMyOE9UWlRnEAE,Peaceful square in the middle of the busy 8th arrondissement. Great to seat and read a book.,2 years ago,2024-12-28 17:07:53.090907,5.0,Guilherme G.,41,https://www.google.com/maps/contrib/100697159040321287320/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQ2OXVIaWlRRRAB,Good place. Nice.,3 years ago,2024-12-28 17:07:53.090907,5.0,Charith Chathuranga,1,https://www.google.com/maps/contrib/105041399994567628203/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNPNXVhUENnEAE,"Peaceful space in the middle of the city, Ping pong table. Googled Pagnol and was surprised how well I knew this novelist",2 years ago,2024-12-28 17:07:53.091907,5.0,Sharon Sananes,25,https://www.google.com/maps/contrib/109195833954045760459/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBNTlyV3lRRRAB,It's good to walk in this area around the place here at Miromesnil there is a lot of beautiful spots near Paris Sainte Lazare,6 years ago,2024-12-28 17:07:53.092908,5.0,Sarah Pajarillo,7,https://www.google.com/maps/contrib/105718250407685112750/reviews?hl=en
